theDay,unixTs,capRealUSD
2025-05-07,1746576000,891465296476.1846
2025-05-16,1747353600,905175439917.4197
2025-06-16,1750032000,943866135905.2457
2020-05-02,1588377600,102884541121.9142
2025-02-12,1739318400,856898658650.0259
2025-03-29,1743206400,867427488915.2189
2025-04-25,1745539200,879464197559.4795
2020-12-25,1608854400,159301169158.6437
2025-01-23,1737590400,840709705995.0288
2025-01-21,1737417600,833692487601.227
2025-01-22,1737504000,836300209654.0685
2025-06-26,1750896000,952410179200.1207
2021-02-01,1612137600,223322157876.7939
2025-01-17,1737072000,827857166782.5043
2025-01-18,1737158400,829090467761.821
2025-01-20,1737331200,831297231111.5504
2021-04-03,1617408000,328920822540.502
2021-06-19,1624060800,369119185044.2603
2025-03-02,1740873600,861118868104.9177
2024-06-18,1718668800,602307970819.4121
2025-06-07,1749254400,934885066367.289
2025-02-21,1740096000,859948278304.106
2025-02-22,1740182400,860506913557.6364
2025-04-07,1743984000,869564952069.6444
2025-02-05,1738713600,851893521808.5767
2025-06-28,1751068800,954897088641.1091
2025-03-11,1741651200,862511116751.811
2025-03-20,1742428800,864841083909.2302
2025-04-28,1745798400,881525389906.488
2025-03-12,1741737600,863150734478.6868
2025-06-27,1750982400,954583240705.5197
2025-01-19,1737244800,829701122604.0784
2025-01-15,1736899200,823587050239.9304
2025-01-14,1736812800,821735944632.4036
2025-04-16,1744761600,871336585478.316
2025-04-17,1744848000,869376779608.807
2025-03-03,1740960000,860607415448.8724
2025-01-28,1738022400,844474101346.2826
2025-02-13,1739404800,857131484220.7046
2025-06-08,1749340800,935393539726.4188
2025-02-06,1738800000,852977029606.1395
2025-02-07,1738886400,853343823921.7522
2025-05-28,1748390400,924311697481.2793
2025-03-30,1743292800,867264282881.2635
2025-06-17,1750118400,944087683576.0767
2025-01-13,1736726400,820701493930.2118
2025-03-21,1742515200,865034436186.7712
2025-04-26,1745625600,879938432104.8452
2025-04-29,1745884800,882908355149.3322
2025-05-08,1746662400,893631445399.2545
2025-05-17,1747440000,905474749524.2985
2025-01-10,1736467200,819625649212.3323
2025-01-25,1737763200,842274668005.5825
2025-04-08,1744070400,868972336022.8478
2025-02-23,1740268800,860722715315.8365
2025-06-29,1751155200,955489736376.3197
2025-03-13,1741824000,863005836185.2689
2025-04-18,1744934400,869534135511.6049
2025-03-04,1741046400,860774701536.4254
2025-06-09,1749427200,936716160060.3668
2025-01-29,1738108800,845263685324.6908
2025-02-14,1739491200,857659559460.6626
2020-03-09,1583712000,105804387818.6549
2025-03-31,1743379200,867162086341.2705
2020-05-05,1588636800,103161176582.3718
2020-06-11,1591833600,106267663961.5331
2025-04-09,1744156800,870010078933.0509
2020-07-14,1594684800,107774551117.7492
2020-10-21,1603238400,118205430504.1514
2025-02-08,1738972800,853693689034.5334
2020-12-05,1607126400,140855010996.5096
2024-02-24,1708732800,463986364274.5016
2025-06-18,1750204800,944658432023.2521
2020-12-07,1607299200,141456785327.0386
2025-05-18,1747526400,906236211889.125
2020-12-15,1607990400,145286046993.2468
2025-04-27,1745712000,880226453681.93
2025-04-30,1745971200,883693262230.9495
2025-05-09,1746748800,895555914419.0995
2020-12-16,1608076800,146790733664.6428
2025-01-26,1737849600,842584810231.6597
2020-12-23,1608681600,157363130883.6699
2022-06-13,1655078400,442123465686.8181
2021-01-09,1610150400,203539371846.09
2021-01-23,1611360000,216717660231.0313
2021-01-24,1611446400,216921808301.2368
2021-01-31,1612051200,222826545524.1004
2025-05-29,1748476800,925785146702.2498
2021-02-09,1612828800,239578961835.4492
2021-02-19,1613692800,266023007408.9351
2025-02-24,1740355200,860715047175.1117
2021-03-08,1615161600,289959318356.4101
2024-01-26,1706227200,445238176113.2355
2025-01-24,1737676800,841680037980.8423
2021-03-24,1616544000,315586320011.874
2024-04-15,1713139200,560899382635.7
2021-05-04,1620086400,368431007313.0439
2025-06-30,1751241600,957901297078.9135
2021-05-14,1620950400,377301635632.6582
2025-03-22,1742601600,865106189084.3372
2021-05-22,1621641600,370490270948.8922
2025-03-14,1741910400,863539859366.8021
2021-06-04,1622764800,369993521743.5664
2021-08-14,1628899200,380304912616.5069
2021-08-16,1629072000,380906526990.8308
2021-09-23,1632355200,395484558719.4607
2021-09-24,1632441600,395196123992.2671
2021-10-22,1634860800,426844088427.9452
2021-11-12,1636675200,456281202500.8405
2021-12-24,1640304000,463556990766.975
2022-01-12,1641945600,460821557228.6907
2022-01-20,1642636800,458935359896.4039
2022-06-27,1656288000,428848879845.6876
2022-07-31,1659225600,417379511138.2356
2022-09-01,1661990400,413390211231.2297
2022-09-03,1662163200,413010026285.5716
2022-09-12,1662940800,412406291922.3767
2022-09-20,1663632000,409259642170.9384
2022-09-27,1664236800,408368805660.6532
2022-10-18,1666051200,405940704276.8307
2022-12-02,1669939200,387656374751.5929
2023-01-20,1674172800,381180146551.8296
2023-02-05,1675555200,382797935684.5817
2025-06-10,1749513600,938228424435.1562
2023-02-15,1676419200,383185665666.451
2025-03-05,1741132800,861766886136.8416
2023-03-06,1678060800,382959510427.413
2023-03-20,1679270400,384629967391.9191
2025-01-30,1738195200,846526879597.6029
2025-02-15,1739577600,858092884401.1683
2023-03-21,1679356800,385046069813.5388
2025-04-19,1745020800,869595589385.5184
2023-07-31,1690761600,395798165558.9037
2023-10-25,1698192000,400421458991.3588
2023-11-02,1698883200,403755086408.1761
2023-11-06,1699228800,404761488212.601
2025-04-01,1743465600,867310823342.6434
2023-11-12,1699747200,407569643247.5689
2023-12-01,1701388800,413205447185.3333
2025-04-10,1744243200,870207845205.0127
2023-12-06,1701820800,417661602507.1163
2023-12-29,1703808000,429441447917.8273
2025-02-09,1739059200,855104964566.8148
2025-06-19,1750291200,945246901769.2755
2024-03-02,1709337600,481653103627.48804
2024-06-17,1718582400,602310360824.3182
2024-07-09,1720483200,607372502913.2917
2025-03-23,1742688000,865330751977.0316
2025-05-10,1746835200,896168929048.7737
2025-05-19,1747612800,908548686152.9225
2024-07-16,1721088000,610970210219.4146
2025-01-27,1737936000,843722954847.0802
2024-08-04,1722729600,619796039598.8182
2022-05-05,1651708800,465191628859.0727
2024-08-10,1723248000,620249740199.4502
2024-12-01,1733011200,734101670076.7335
2025-05-23,1747958400,916788797973.3693
2024-12-16,1734307200,778898872113.6327
2024-12-19,1734566400,789723696415.6261
2024-12-23,1734912000,799907145178.4847
2025-02-25,1740441600,860713457324.0347
2025-05-15,1747267200,903920409118.8937
2025-05-01,1746057600,884951723667.3058
2025-03-15,1741996800,863657251521.0116
2025-05-30,1748563200,926532652598.1532
2025-04-20,1745107200,869744429089.413
2025-06-11,1749600000,939175127347.4681
2025-03-06,1741219200,862524152392.3977
2025-01-31,1738281600,847021479034.4795
2025-02-16,1739664000,858173278476.9448
2024-11-07,1730937600,662524338770.6403
2025-04-02,1743552000,867647649721.6267
2025-04-11,1744329600,870639975980.6185
2024-10-11,1728604800,639080768933.3411
2024-11-01,1730419200,655371152181.8561
2024-12-04,1733270400,742268010183.365
2025-06-20,1750377600,945660004056.462
2025-02-10,1739145600,855586168203.3582
2025-03-24,1742774400,865917882136.9402
2025-05-02,1746144000,886253329301.1536
2025-05-11,1746921600,896733873102.8074
2025-05-20,1747699200,910353174912.1476
2025-05-24,1748044800,917309487142.1858
2025-02-26,1740528000,859729392893.4674
2025-03-16,1742083200,863677610462.6841
2025-05-22,1747872000,915565091046.1202
2025-04-21,1745193600,870374634276.7832
2025-05-31,1748649600,926745216190.156
2025-06-12,1749686400,939818612330.2866
2025-03-07,1741305600,862382576128.4448
2025-02-01,1738368000,847284273872.3014
2025-02-17,1739750400,858331565714.2032
2025-04-03,1743638400,868916569959.424
2025-04-12,1744416000,871007240373.1257
2025-06-21,1750464000,946045276404.8795
2025-02-11,1739232000,856304946954.5615
2025-03-25,1742860800,866155634818.9014
2025-05-03,1746230400,886715384873.797
2025-05-12,1747008000,898018144404.3708
2025-05-21,1747785600,913060314224.206
2025-05-25,1748131200,917931218380.3402
2025-02-27,1740614400,860017999108.1152
2025-03-17,1742169600,863740611699.9302
2025-04-22,1745280000,872227904488.3848
2025-06-01,1748736000,927100597665.2274
2025-06-13,1749772800,941133175675.2616
2025-02-02,1738454400,847380817896.6698
2025-02-18,1739836800,858671712761.3336
2025-04-04,1743724800,869272459611.3063
2025-06-22,1750550400,946308942616.4474
2025-03-08,1741392000,862449171349.6207
2025-05-13,1747094400,900631346726.329
2025-03-26,1742947200,866496465461.917
2025-05-04,1746316800,886794454484.4987
2025-05-26,1748217600,920263041701.1608
2025-04-13,1744502400,871310720162.6835
2025-03-18,1742256000,863795301994.8463
2025-04-23,1745366400,874996216215.518
2025-06-02,1748822400,929928531607.8823
2025-02-28,1740700800,859848976451.8734
2025-06-14,1749859200,941368308807.7927
2025-03-09,1741478400,862173355504.5182
2025-02-03,1738540800,848866354549.4819
2025-06-23,1750636800,947619074754.4789
2025-04-14,1744588800,871765252596.7767
2025-05-27,1748304000,922877221658.4119
2025-05-14,1747180800,901696936162.5405
2025-02-19,1739923200,859091778407.2286
2025-03-27,1743033600,866682239080.5944
2025-05-05,1746403200,888677715586.4382
2025-04-05,1743811200,869389747047.463
2025-03-19,1742342400,864564478071.9653
2025-04-24,1745452800,876420444138.63
2025-06-03,1748908800,932116271802.1802
2025-03-01,1740787200,859878831367.9889
2025-06-15,1749945600,941764048156.5549
2025-03-10,1741564800,861833538021.4635
2025-02-04,1738627200,850294593184.9601
2025-02-20,1740009600,859702094912.9651
2025-06-24,1750723200,948890479462.9508
2025-04-06,1743897600,869094655503.0612
2025-04-15,1744675200,870947716659.9094
2020-05-26,1590451200,105058056354.7979
2020-05-27,1590537600,105134951460.428
2020-05-28,1590624000,105213823414.4275
2020-05-30,1590796800,105326120951.2569
2020-05-23,1590192000,105147065863.5803
2020-05-19,1589846400,105129232113.7473
2020-05-18,1589760000,104975717653.5158
2020-05-21,1590019200,105105092239.1243
2020-02-11,1581379200,105147189280.6688
2020-05-22,1590105600,105113359105.8409
2020-05-31,1590883200,105338161733.8862
2020-06-06,1591401600,105940627438.613
2020-06-07,1591488000,105981237968.94
2020-06-08,1591574400,106171524170.3912
2020-06-10,1591747200,106325296944.1811
2020-06-13,1592006400,106331176101.8455
2020-06-16,1592265600,106457805246.9094
2020-06-30,1593475200,107283411118.0861
2020-07-01,1593561600,107318359687.2547
2020-07-02,1593648000,107317434076.5374
2020-07-03,1593734400,107331333678.9401
2020-07-04,1593820800,107351108957.3116
2021-06-08,1623110400,367909798406.5192
2023-01-29,1674950400,381717720323.0089
2023-08-22,1692662400,395592936140.11224
2023-08-23,1692748800,395502718438.01086
2023-08-24,1692835200,395412500735.9095
2020-06-24,1592956800,106918779917.3558
2020-06-25,1593043200,106904474216.4302
2020-06-27,1593216000,107181629476.4512
2020-07-05,1593907200,107361102470.1235
2020-07-07,1594080000,107445930375.5914
2020-07-08,1594166400,107607494237.4064
2020-07-09,1594252800,107635973422.2751
2020-07-13,1594598400,107713404168.9936
2020-07-15,1594771200,107820341542.5212
2020-07-17,1594944000,107835979742.7101
2020-07-18,1595030400,107850937335.9426
2020-07-20,1595203200,107894191349.7029
2020-07-21,1595289600,107948883988.435
2020-07-22,1595376000,108041750319.6878
2020-07-24,1595548800,108176769161.5498
2020-07-25,1595635200,108242653446.2871
2020-07-26,1595721600,108330224151.6996
2020-08-05,1596585600,110844589895.7662
2020-08-10,1597017600,112169855407.4003
2020-08-11,1597104000,112334578636.9676
2020-08-12,1597190400,112468646465.5128
2020-08-13,1597276800,112653363946.9736
2023-02-17,1676592000,383573979505.5401
2020-06-21,1592697600,106798884568.7619
2020-07-31,1596153600,109787923322.7054
2020-07-30,1596067200,109568095675.6564
2020-08-01,1596240000,109975023679.4065
2020-08-03,1596412800,110406402399.2609
2020-08-15,1597449600,112936378282.5254
2020-08-17,1597622400,113448071603.7293
2020-08-18,1597708800,113550254366.6729
2020-08-19,1597795200,113616355143.737
2020-08-21,1597968000,113833084546.4327
2020-08-22,1598054400,113891681632.2459
2020-08-23,1598140800,113938214743.1311
2020-08-24,1598227200,114067965700.855
2021-09-05,1630800000,392286882007.1513
2021-09-28,1632787200,397705923983.3557
2023-02-21,1676937600,383908422848.6306
2024-02-27,1708992000,468214001851.72455
2024-03-19,1710806400,528179469233.7283
2024-04-06,1712361600,556951938425.3873
2020-10-05,1601856000,116035132679.5856
2021-06-07,1623024000,368831517949.2717
2021-08-23,1629676800,385150537594.2543
2021-09-15,1631664000,395139772789.7363
2021-09-18,1631923200,396075176282.6403
2024-04-13,1712966400,560494437065.3447
2024-06-02,1717286400,593119677611.289
2020-05-12,1589241600,104264169720.1261
2020-01-01,1577836800,101010417318.8791
2020-06-20,1592611200,106770626613.9934
2021-07-07,1625616000,362772573963.8868
2021-10-19,1634601600,422453317003.5555
2021-10-21,1634774400,426528263405.0251
2021-10-25,1635120000,430281980168.957
2024-03-30,1711756800,548956077065.8762
2024-04-10,1712707200,559853311683.1927
