d,unixTs,hashrate
2020-01-01,1577836800,112929774.50
2020-01-02,1577923200,96717718.31
2020-01-03,1578009600,115924073.72
2020-01-04,1578096000,115238132.46
2020-01-05,1578182400,111808426.13
2020-01-06,1578268800,92602070.72
2020-01-07,1578355200,120725662.57
2020-01-08,1578441600,97403659.58
2020-01-09,1578528000,107692778.55
2020-01-10,1578614400,102205248.43
2020-01-11,1578700800,111808426.13
2020-01-12,1578787200,103577130.96
2020-01-13,1578873600,98089600.84
2020-01-14,1578960000,99850250.97
2020-01-15,1579046400,110915119.37
2020-01-16,1579132800,116791417.08
2020-01-17,1579219200,116791417.08
2020-01-18,1579305600,96958912.29
2020-01-19,1579392000,110180582.15
2020-01-20,1579478400,111649656.58
2020-01-21,1579564800,112384193.79
2020-01-22,1579651200,114587805.44
2020-01-23,1579737600,116791417.08
2020-01-24,1579824000,111649656.58
2020-01-25,1579910400,120464103.15
2020-01-26,1579996800,105038821.65
2020-01-27,1580083200,94755300.65
2020-01-28,1580169600,107492950.69
2020-01-29,1580256000,123011831.71
2020-01-30,1580342400,119936535.92
2020-01-31,1580428800,110710648.54
2020-02-01,1580515200,116092416.18
2020-02-02,1580601600,109941824.59
2020-02-03,1580688000,113785944.33
2020-02-04,1580774400,101484761.16
2020-02-05,1580860800,122243007.76
2020-02-06,1580947200,103791233.01
2020-02-07,1581033600,106866528.80
2020-02-08,1581120000,106866528.80
2020-02-09,1581206400,117630064.08
2020-02-10,1581292800,93796521.68
2020-02-11,1581379200,114210895.75
2020-02-12,1581465600,109742275.19
2020-02-13,1581552000,108969442.27
2020-02-14,1581638400,104332444.72
2020-02-15,1581724800,109742275.19
2020-02-16,1581811200,109742275.19
2020-02-17,1581897600,121334769.05
2020-02-18,1581984000,115924938.58
2020-02-19,1582070400,108969442.27
2020-02-20,1582156800,97376948.41
2020-02-21,1582243200,119016270.28
2020-02-22,1582329600,114379272.73
2020-02-23,1582416000,109742275.19
2020-02-24,1582502400,108969442.27
2020-02-25,1582588800,111005384.34
2020-02-26,1582675200,104700775.43
2020-02-27,1582761600,113169220.50
2020-02-28,1582848000,121637665.57
2020-02-29,1582934400,107010351.36
2020-03-01,1583020800,136264979.78
2020-03-02,1583107200,114708937.78
2020-03-03,1583193600,117788372.36
2020-03-04,1583280000,128566393.36
2020-03-05,1583366400,125486958.78
2020-03-06,1583452800,119328089.64
2020-03-07,1583539200,120867806.93
2020-03-08,1583625600,121637665.57
2020-03-09,1583712000,120142063.45
2020-03-10,1583798400,108616241.39
2020-03-11,1583884800,97919187.32
2020-03-12,1583971200,124250397.35
2020-03-13,1584057600,102856289.20
2020-03-14,1584144000,105324840.14
2020-03-15,1584230400,97919187.32
2020-03-16,1584316800,97919187.32
2020-03-17,1584403200,101210588.57
2020-03-18,1584489600,82285031.36
2020-03-19,1584576000,88044983.55
2020-03-20,1584662400,89690684.18
2020-03-21,1584748800,102033438.88
2020-03-22,1584835200,104501989.82
2020-03-23,1584921600,92159235.12
2020-03-24,1585008000,108616241.39
2020-03-25,1585094400,75702228.85
2020-03-26,1585180800,111836546.40
2020-03-27,1585267200,107197274.86
2020-03-28,1585353600,93365368.43
2020-03-29,1585440000,104430893.58
2020-03-30,1585526400,101664512.29
2020-03-31,1585612800,109963656.15
2020-04-01,1585699200,105814084.22
2020-04-02,1585785600,105814084.22
2020-04-03,1585872000,91290582.46
2020-04-04,1585958400,108580465.51
2020-04-05,1586044800,121029181.30
2020-04-06,1586131200,88524201.18
2020-04-07,1586217600,116188014.05
2020-04-08,1586304000,103260704.52
2020-04-09,1586390400,112650577.83
2020-04-10,1586476800,119234053.15
2020-04-11,1586563200,116308064.12
2020-04-12,1586649600,111919080.57
2020-04-13,1586736000,125086031.22
2020-04-14,1586822400,122891539.45
2020-04-15,1586908800,123623036.71
2020-04-16,1586995200,112650577.83
2020-04-17,1587081600,92900151.84
2020-04-18,1587168000,115576566.86
2020-04-19,1587254400,111187583.31
2020-04-20,1587340800,117771058.64
2020-04-21,1587427200,116039619.81
2020-04-22,1587513600,103923467.23
2020-04-23,1587600000,112649865.25
2020-04-24,1587686400,114236483.07
2020-04-25,1587772800,107890011.78
2020-04-26,1587859200,108683320.69
2020-04-27,1587945600,111856556.34
2020-04-28,1588032000,122169572.17
2020-04-29,1588118400,115029791.98
2020-04-30,1588204800,107096702.87
2020-05-01,1588291200,111856556.34
2020-05-02,1588377600,117409718.71
2020-05-03,1588464000,133275896.91
2020-05-04,1588550400,125342807.81
2020-05-05,1588636800,126330903.88
2020-05-06,1588723200,123288445.66
2020-05-07,1588809600,117684425.40
2020-05-08,1588896000,109678682.17
2020-05-09,1588982400,108878107.85
2020-05-10,1589068800,136097634.81
2020-05-11,1589155200,125690168.62
2020-05-12,1589241600,116883851.08
2020-05-13,1589328000,95268344.37
2020-05-14,1589414400,91265472.76
2020-05-15,1589500800,100071790.30
2020-05-16,1589587200,100872364.63
2020-05-17,1589673600,81658580.89
2020-05-18,1589760000,102473513.27
2020-05-19,1589846400,92066047.08
2020-05-20,1589932800,86731596.76
2020-05-21,1590019200,98579623.70
2020-05-22,1590105600,83529299.47
2020-05-23,1590192000,89549429.17
2020-05-24,1590278400,87291880.53
2020-05-25,1590364800,94064526.43
2020-05-26,1590451200,93312010.22
2020-05-27,1590537600,103847237.18
2020-05-28,1590624000,98579623.70
2020-05-29,1590710400,95569558.86
2020-05-30,1590796800,117392528.99
2020-05-31,1590883200,112877431.72
2020-06-01,1590969600,100837172.34
2020-06-02,1591056000,97074591.28
2020-06-03,1591142400,104599753.40
2020-06-04,1591228800,108319274.22
2020-06-05,1591315200,122192367.73
2020-06-06,1591401600,133797229.46
2020-06-07,1591488000,108539589.21
2020-06-08,1591574400,110587505.99
2020-06-09,1591660800,109222228.13
2020-06-10,1591747200,111952783.84
2020-06-11,1591833600,126288201.28
2020-06-12,1591920000,111270144.91
2020-06-13,1592006400,107856950.28
2020-06-14,1592092800,116048617.39
2020-06-15,1592179200,94204171.77
2020-06-16,1592265600,106884937.54
2020-06-17,1592352000,108283617.57
2020-06-18,1592438400,96513659.14
2020-06-19,1592524800,112206937.05
2020-06-20,1592611200,107498953.68
2020-06-21,1592697600,114560928.74
2020-06-22,1592784000,112206937.05
2020-06-23,1592870400,123976895.48
2020-06-24,1592956800,109068281.47
2020-06-25,1593043200,110637609.26
2020-06-26,1593129600,128684878.86
2020-06-27,1593216000,108283617.57
2020-06-28,1593302400,117699584.32
2020-06-29,1593388800,113776264.84
2020-06-30,1593475200,115344545.22
2020-07-01,1593561600,127111309.04
2020-07-02,1593648000,128680584.46
2020-07-03,1593734400,127895946.75
2020-07-04,1593820800,123188120.49
2020-07-05,1593907200,127895946.75
2020-07-06,1593993600,120834207.36
2020-07-07,1594080000,126326671.33
2020-07-08,1594166400,118480294.23
2020-07-09,1594252800,128680584.46
2020-07-10,1594339200,126326671.33
2020-07-11,1594425600,122403482.78
2020-07-12,1594512000,119264931.94
2020-07-13,1594598400,121474836.13
2020-07-14,1594684800,124167138.54
2020-07-15,1594771200,118993507.77
2020-07-16,1594857600,117268964.18
2020-07-17,1594944000,101748071.86
2020-07-18,1595030400,112095333.41
2020-07-19,1595116800,112957605.20
2020-07-20,1595203200,121580323.16
2020-07-21,1595289600,107783974.43
2020-07-22,1595376000,124167138.54
2020-07-23,1595462400,117268964.18
2020-07-24,1595548800,138825759.06
2020-07-25,1595635200,122442594.95
2020-07-26,1595721600,136238943.68
2020-07-27,1595808000,128082098.08
2020-07-28,1595894400,121437040.40
2020-07-29,1595980800,123949530.89
2020-07-30,1596067200,113062072.09
2020-07-31,1596153600,128137015.04
2020-08-01,1596240000,114737065.75
2020-08-02,1596326400,118087053.07
2020-08-03,1596412800,135674486.51
2020-08-04,1596499200,121437040.40
2020-08-05,1596585600,108037091.11
2020-08-06,1596672000,130649505.53
2020-08-07,1596758400,127299518.21
2020-08-08,1596844800,118924549.90
2020-08-09,1596931200,130649505.53
2020-08-10,1597017600,114926419.50
2020-08-11,1597104000,129741892.84
2020-08-12,1597190400,132269332.31
2020-08-13,1597276800,123844534.08
2020-08-14,1597363200,140694130.55
2020-08-15,1597449600,131426852.49
2020-08-16,1597536000,128056933.19
2020-08-17,1597622400,105309977.96
2020-08-18,1597708800,117947175.31
2020-08-19,1597795200,116262215.66
2020-08-20,1597881600,123002054.25
2020-08-21,1597968000,130584372.67
2020-08-22,1598054400,114577256.02
2020-08-23,1598140800,132269332.31
2020-08-24,1598227200,128593100.90
2020-08-25,1598313600,111720008.70
2020-08-26,1598400000,123939384.65
