d,unixTs,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_5y,age_5y_7y,age_7y_10y,age_10y
2020-01-01,1577836800,72542.76928000,544070.76960000,961191.69296000,1722890.77040000,1849840.61664000,2321368.61696000,3355103.07920000,2412047.07856000,616613.53888000,362713.84640000,1233227.07776000,1595940.92416000,1088141.53920000
2020-01-02,1577923200,163237.09338000,471573.82532000,943147.65064000,1723058.20790000,1850020.39164000,2321594.21696000,3337291.68688000,2430418.94588000,616673.46388000,362749.09640000,1233346.92776000,1596096.02416000,1088247.28920000
2020-01-03,1578009600,235814.37516000,399070.48104000,906978.36600000,1759538.03004000,1850235.86664000,2321864.61696000,3337680.38688000,2430702.02088000,616745.28888000,362791.34640000,1233490.57776000,1596281.92416000,1106513.60652000
2020-01-04,1578096000,108850.00392000,526108.35228000,907083.36600000,1759741.73004000,1814166.73200000,2340275.08428000,3319925.11956000,2449125.08820000,616816.68888000,362833.34640000,1233633.37776000,1596466.72416000,1106641.70652000
2020-01-05,1578182400,90718.52410000,526167.43978000,907185.24100000,1778083.07236000,1814370.48200000,2340537.92178000,3320297.98206000,2449400.15070000,616885.96388000,362874.09640000,1233771.92776000,1596646.02416000,1106765.99402000
2020-01-06,1578268800,181453.92320000,362907.84640000,997996.57760000,1741957.66272000,1814539.23200000,2358901.00160000,3302461.40224000,2467773.35552000,616943.33888000,362907.84640000,1233886.67776000,1596794.52416000,1106868.93152000
2020-01-07,1578355200,181475.92320000,362951.84640000,1034412.76224000,1724021.27040000,1778464.04736000,2413629.77856000,3284714.20992000,2486220.14784000,617018.13888000,362951.84640000,1234036.27776000,1578840.53184000,1107003.13152000
2020-01-08,1578441600,199643.04052000,381136.71372000,998215.20260000,1724189.89540000,1742339.26272000,2432015.22088000,3285035.48492000,2486463.32284000,617078.48888000,362987.34640000,1234156.97776000,1578994.95684000,1107111.40652000
2020-01-09,1578528000,254118.61748000,363026.59640000,943869.15064000,1742527.66272000,1742527.66272000,2432278.19588000,3267239.36760000,2504883.51516000,617145.21388000,363026.59640000,1234290.42776000,1579165.69434000,1107231.11902000
2020-01-10,1578614400,199685.11552000,435676.61568000,925812.80832000,1742706.46272000,1724553.27040000,2432527.77088000,3267574.61760000,2505140.54016000,617208.53888000,363063.84640000,1234417.07776000,1579327.73184000,1125497.92384000
2020-01-11,1578700800,108931.37892000,508346.43496000,925916.72082000,1761057.29254000,1724746.83290000,2432800.79588000,3249786.13778000,2505421.71516000,617277.81388000,363104.59640000,1234555.62776000,1579504.99434000,1125624.24884000
2020-01-12,1578787200,108942.70392000,508399.28496000,907855.86600000,1670454.79344000,1815711.73200000,2451210.83820000,3250124.00028000,2523839.30748000,617341.98888000,363142.34640000,1234683.97776000,1579669.20684000,1125741.27384000
2020-01-13,1578873600,163430.14338000,435813.71568000,926104.14582000,1652460.33862000,1834049.38682000,2451452.15070000,3232285.05796000,2524087.76998000,617402.76388000,363178.09640000,1234805.52776000,1579824.71934000,1125852.09884000
2020-01-14,1578960000,435857.21568000,399535.78104000,835392.99672000,1579982.40684000,1797911.01468000,2397214.68624000,3250768.40028000,2542500.42480000,617464.38888000,363214.34640000,1234928.77776000,1579982.40684000,1125964.47384000
2020-01-15,1579046400,399577.30604000,454065.12050000,835479.82172000,1580146.61934000,1707284.85308000,2397463.83624000,3305594.07724000,2542764.67480000,617528.56388000,363252.09640000,1235057.12776000,1580146.61934000,1126081.49884000
2020-01-16,1579132800,326962.66176000,526773.17728000,835571.24672000,1580319.53184000,1707471.67808000,2397726.18624000,3324120.39456000,2543042.92480000,617596.13888000,363291.84640000,1235192.27776000,1580319.53184000,1126204.72384000
2020-01-17,1579219200,345165.01658000,490497.65514000,781162.93226000,1671325.34344000,1707658.50308000,2379821.95642000,3324484.10706000,2543321.17480000,617663.71388000,363331.59640000,1235327.42776000,1580492.44434000,1126327.94884000
2020-01-18,1579305600,109009.37892000,744897.42262000,763065.65244000,1689645.37326000,1689645.37326000,2398206.33624000,3324786.05706000,2543552.17480000,617719.81388000,363364.59640000,1235439.62776000,1580635.99434000,1126430.24884000
2020-01-19,1579392000,236211.36266000,635953.66870000,726804.19280000,1689819.74826000,1707989.85308000,2380283.73142000,3306959.07724000,2561984.77962000,617783.56388000,363402.09640000,1235567.12776000,1580799.11934000,1126546.49884000
2020-01-20,1579478400,308924.08194000,526988.13978000,726880.19280000,1689996.44826000,1689996.44826000,2416876.64106000,3307304.87724000,2562252.67962000,617848.16388000,363440.09640000,1235696.32776000,1580964.41934000,1126664.29884000
2020-01-21,1579564800,145391.33856000,581565.35424000,854174.11404000,1672000.39344000,1690174.31076000,2417131.00356000,3307652.95224000,2580696.25944000,617913.18888000,363478.34640000,1217652.46044000,1581130.80684000,1126782.87384000
2020-01-22,1579651200,290813.87712000,418044.94836000,890617.49868000,1654003.92612000,1708531.52808000,2417390.35356000,3308007.85224000,2580973.15944000,636155.35620000,363517.34640000,1217783.11044000,1581300.45684000,1145079.64116000
2020-01-23,1579737600,199956.40302000,472624.22532000,927070.59582000,1636006.93380000,1708718.35308000,2417654.69106000,3290191.72242000,2581255.38444000,636224.91870000,363557.09640000,1217916.27294000,1581473.36934000,1145204.85366000
2020-01-24,1579824000,145438.03856000,509033.13496000,890807.98618000,1690717.19826000,1727076.70790000,2417907.39106000,3272355.86760000,2581525.18444000,618111.66388000,381774.85122000,1218043.57294000,1563458.91452000,1145324.55366000
2020-01-25,1579910400,90909.02410000,545454.14460000,909090.24100000,1690907.84826000,1618180.62898000,2527270.86998000,3254543.06278000,2618179.89408000,618181.36388000,363636.09640000,1218180.92294000,1563635.21452000,1145453.70366000
2020-01-26,1579996800,109101.55392000,545507.76960000,890996.02368000,1672890.49344000,1636523.30880000,2527519.33248000,3236679.43296000,2636620.88640000,618242.13888000,381855.43872000,1218300.68544000,1563788.93952000,1145566.31616000
2020-01-27,1580083200,163666.84338000,491000.53014000,891075.03618000,1654853.63862000,1636668.43380000,2545928.67480000,3218781.25314000,2655039.90372000,618296.96388000,381889.30122000,1218408.72294000,1563927.61452000,1145667.90366000
2020-01-28,1580169600,200056.77802000,472861.47532000,872975.03136000,1673202.14344000,1636828.18380000,2546177.17480000,3219095.42814000,2655299.05372000,618357.31388000,381926.57622000,1218527.64794000,1564080.26452000,1145779.72866000
2020-01-29,1580256000,200078.77802000,363779.59640000,982204.91028000,1637008.18380000,1691575.12326000,2528268.19498000,3183071.46850000,2655591.05372000,636614.29370000,381968.57622000,1218661.64794000,1564252.26452000,1145905.72866000
2020-01-30,1580342400,254673.01748000,345627.66658000,945928.35064000,1582610.89434000,1746329.26272000,2528539.24498000,3183412.71850000,2655875.75372000,636682.54370000,382009.52622000,1218792.29794000,1564419.96452000,1146028.57866000
2020-01-31,1580428800,363854.59640000,400240.05604000,836865.57172000,1564574.76452000,1746502.06272000,2528789.44498000,3165534.98868000,2674331.28354000,636745.54370000,382047.32622000,1218912.89794000,1564574.76452000,1146141.97866000
2020-02-01,1580515200,145556.93856000,600422.37156000,818757.77940000,1564737.08952000,1692099.41076000,2547246.42480000,3184058.03100000,2674608.74604000,636811.60620000,382086.96372000,1219039.36044000,1564737.08952000,1146260.89116000
2020-02-02,1580601600,109178.42892000,655070.57352000,800641.81208000,1564890.81452000,1637676.43380000,2602085.88926000,3184370.84350000,2674871.50854000,636874.16870000,363928.09640000,1219159.12294000,1564890.81452000,1164569.90848000
2020-02-03,1580688000,363965.09640000,491352.88014000,800723.21208000,1455860.38560000,1728834.20790000,2620548.69408000,3130099.82904000,2656945.20372000,636938.91870000,363965.09640000,1219283.07294000,1565049.91452000,1164688.30848000
2020-02-04,1580774400,272998.57230000,636996.66870000,764396.00244000,1437792.48078000,1747190.86272000,2620786.29408000,3130383.62904000,2657186.10372000,636996.66870000,363998.09640000,1219393.62294000,1565191.81452000,1164793.90848000
2020-02-05,1580860800,182018.92320000,691671.90816000,800883.26208000,1437949.49328000,1747381.66272000,2621072.49408000,3112523.58672000,2657476.27872000,637066.23120000,364037.84640000,1219526.78544000,1565362.73952000,1164921.10848000
2020-02-06,1580947200,382275.17622000,600718.13406000,782753.93226000,1401675.64614000,1729340.08290000,2584908.33444000,3112812.14922000,2657722.65372000,637125.29370000,364071.59640000,1219639.84794000,1565507.86452000,1165029.10848000
2020-02-07,1581033600,400516.98104000,673596.74084000,782828.64476000,1401809.43364000,1729505.14540000,2585155.05944000,3022082.67512000,2676181.64604000,637186.10620000,364106.34640000,1219756.26044000,1547451.97220000,1165140.30848000
2020-02-08,1581120000,254898.76748000,873938.63136000,782903.35726000,1401943.22114000,1675049.04344000,2585401.78444000,3022371.10012000,2676437.05854000,637246.91870000,364141.09640000,1219872.67294000,1547599.65970000,1165251.50848000
2020-02-09,1581206400,145671.73856000,1001493.20260000,764776.62744000,1402090.48364000,1675224.99344000,2585673.35944000,3004479.60780000,2676718.19604000,637313.85620000,364179.34640000,1220000.81044000,1547762.22220000,1165373.90848000
2020-02-10,1581292800,291367.87712000,691998.70816000,965156.09296000,1383997.41632000,1675365.29344000,2585889.90944000,2986520.74048000,2676942.37104000,637367.23120000,364209.84640000,1220102.98544000,1547891.84720000,1165471.50848000
2020-02-11,1581379200,254972.79248000,764918.37744000,965254.14296000,1347713.33168000,1675535.49344000,2586152.60944000,2986824.14048000,2677214.32104000,637431.98120000,364246.84640000,1220226.93544000,1548049.09720000,1183802.25080000
2020-02-12,1581465600,200355.29052000,819635.27940000,965348.21796000,1347844.68168000,1675698.79344000,2586404.65944000,2950687.00584000,2713903.48068000,637494.10620000,364282.34640000,1220345.86044000,1548199.97220000,1183917.62580000
2020-02-13,1581552000,218590.55784000,765066.95244000,1001873.39010000,1366190.98650000,1694076.82326000,2586654.93444000,2950972.53084000,2714166.09318000,637555.79370000,364317.59640000,1220463.94794000,1548349.78470000,1184032.18830000
2020-02-14,1581638400,182175.67320000,674049.99084000,1111271.60652000,1366317.54900000,1694233.76076000,2568676.99212000,2951245.90584000,2714417.53068000,637614.85620000,382568.91372000,1220577.01044000,1548493.22220000,1184141.87580000
2020-02-15,1581724800,163974.08088000,583018.95424000,1220695.93544000,1384670.01632000,1676179.49344000,2568927.26712000,2951533.45584000,2714682.00568000,637676.98120000,382606.18872000,1220695.93544000,1530424.75488000,1184257.25080000
2020-02-16,1581811200,163990.05588000,601296.87156000,1184372.62580000,1384804.91632000,1694563.91076000,2550956.42480000,2970042.12316000,2714946.48068000,637739.10620000,382643.46372000,1220814.86044000,1530573.85488000,1184372.62580000
2020-02-17,1581897600,236900.03766000,455576.99550000,1257392.50758000,1366730.98650000,1712969.50308000,2569454.25462000,2970362.01066000,2715238.89318000,637807.79370000,382684.67622000,1220946.34794000,1530738.70488000,1184500.18830000
2020-02-18,1581984000,400949.00604000,419173.96086000,1129947.19884000,1348646.65668000,1713145.75308000,2569718.62962000,2952442.68084000,2733743.22300000,637873.41870000,382724.05122000,1221071.97294000,1530896.20488000,1202847.01812000
2020-02-19,1582070400,236947.32516000,565028.23692000,1148283.19116000,1330550.36436000,1731538.14540000,2569967.14212000,2934501.48852000,2734007.59800000,637935.10620000,382761.06372000,1221190.06044000,1531044.25488000,1202963.34312000
2020-02-20,1582156800,273424.38480000,619761.93888000,1111925.83152000,1294208.75472000,1749916.06272000,2533732.63248000,2952983.35584000,2734243.84800000,637990.23120000,382794.13872000,1221295.58544000,1531176.55488000,1203067.29312000
2020-02-21,1582243200,164071.95588000,729208.69280000,1112043.25652000,1294345.42972000,1768331.08004000,2515769.99016000,2971525.42316000,2734532.59800000,638057.60620000,382834.56372000,1221424.56044000,1531338.25488000,1203194.34312000
2020-02-22,1582329600,127624.47124000,747514.76012000,1112156.10652000,1258012.64508000,1804974.66468000,2516025.29016000,2953594.90584000,2753042.16532000,638122.35620000,382873.41372000,1221548.51044000,1531493.65488000,1203316.44312000
2020-02-23,1582416000,127636.89624000,765821.37744000,1094030.53920000,1239901.27776000,1823384.23200000,2534504.08248000,2917414.77120000,2789777.87496000,638184.48120000,382910.68872000,1221667.43544000,1513408.91256000,1203433.59312000
2020-02-24,1582502400,182356.04820000,692952.98316000,1112371.89402000,1221785.52294000,1823560.48200000,2534749.06998000,2917696.77120000,2790047.53746000,638246.16870000,382947.70122000,1221785.52294000,1513555.20006000,1203549.91812000
2020-02-25,1582588800,273561.07230000,510647.33496000,1331330.55186000,1185431.31330000,1732553.45790000,2534999.26998000,2917984.77120000,2790322.93746000,638309.16870000,382985.50122000,1221906.12294000,1513704.60006000,1221906.12294000
2020-02-26,1582675200,200630.15302000,547173.14460000,1404411.07114000,1167302.70848000,1732714.95790000,2516996.46516000,2918256.77120000,2790583.03746000,638368.66870000,383021.20122000,1222020.02294000,1513845.70006000,1222020.02294000
