d,unixTs,lthSopr
2020-01-01,1577836800,1.1141176609
2020-01-02,1577923200,1.3046913965
2020-01-03,1578009600,0.9673665571
2020-01-04,1578096000,1.074308126
2020-01-05,1578182400,0.9910143481
2020-01-06,1578268800,0.9320991611
2020-01-07,1578355200,0.8658681847
2020-01-08,1578441600,1.0696970754
2020-01-09,1578528000,1.2686129993
2020-01-10,1578614400,1.0070249413
2020-01-11,1578700800,1.0435424518
2020-01-12,1578787200,1.0070535939
2020-01-13,1578873600,1.3212482697
2020-01-14,1578960000,0.7714636956
2020-01-15,1579046400,1.1457720176
2020-01-16,1579132800,1.3136403618
2020-01-17,1579219200,1.1519962714
2020-01-18,1579305600,1.063697926
2020-01-19,1579392000,1.5339499325
2020-01-20,1579478400,1.0765639621
2020-01-21,1579564800,1.1237505173
2020-01-22,1579651200,0.9640138051
2020-01-23,1579737600,1.2811508155
2020-01-24,1579824000,1.8966839538
2020-01-25,1579910400,1.482727227
2020-01-26,1579996800,1.3603527598
2020-01-27,1580083200,1.1617544876
2020-01-28,1580169600,1.0844803083
2020-01-29,1580256000,1.51284424
2020-01-30,1580342400,1.069125174
2020-01-31,1580428800,1.2338547024
2020-02-01,1580515200,1.0629094639
2020-02-02,1580601600,0.8499129959
2020-02-03,1580688000,1.0526238124
2020-02-04,1580774400,1.1007832885
2020-02-05,1580860800,1.1119598017
2020-02-06,1580947200,0.9752031703
2020-02-07,1581033600,1.5269720164
2020-02-08,1581120000,1.1373284927
2020-02-09,1581206400,1.2787989702
2020-02-10,1581292800,2.7407630149
2020-02-11,1581379200,1.2365303722
2020-02-12,1581465600,1.1871243975
2020-02-13,1581552000,1.471335886
2020-02-14,1581638400,1.2747847367
2020-02-15,1581724800,1.0348014553
2020-02-16,1581811200,1.2789886994
2020-02-17,1581897600,1.3511884074
2020-02-18,1581984000,1.2285151032
2020-02-19,1582070400,1.3842977655
2020-02-20,1582156800,1.041067282
2020-02-21,1582243200,1.0567602012
2020-02-22,1582329600,1.4006895542
2020-02-23,1582416000,1.3784225132
2020-02-24,1582502400,1.2357879774
2020-02-25,1582588800,1.4181537899
2020-02-26,1582675200,1.2290791485
2020-02-27,1582761600,1.1837121386
2020-02-28,1582848000,1.2846789973
2020-02-29,1582934400,0.9557964959
2020-03-01,1583020800,1.1319691896
2020-03-02,1583107200,1.6428329506
2020-03-03,1583193600,1.3683048347
2020-03-04,1583280000,0.9766127464
2020-03-05,1583366400,0.9026625102
2020-03-06,1583452800,1.2780964137
2020-03-07,1583539200,1.1461371192
2020-03-08,1583625600,1.2912289064
2020-03-09,1583712000,0.9779892349
2020-03-10,1583798400,1.0100465128
2020-03-11,1583884800,0.8750254547
2020-03-12,1583971200,0.9110898932
2020-03-13,1584057600,0.7139951064
2020-03-14,1584144000,0.6753439342
2020-03-15,1584230400,0.7191067202
2020-03-16,1584316800,0.729984283
2020-03-17,1584403200,0.6768039761
2020-03-18,1584489600,0.7540314332
2020-03-19,1584576000,0.5761844657
2020-03-20,1584662400,0.7507786392
2020-03-21,1584748800,0.7961706182
2020-03-22,1584835200,0.9827182243
2020-03-23,1584921600,0.7630023535
2020-03-24,1585008000,0.6981824317
2020-03-25,1585094400,0.8373585755
2020-03-26,1585180800,1.226554839
2020-03-27,1585267200,1.0960400178
2020-03-28,1585353600,0.82959028
2020-03-29,1585440000,0.6850089833
2020-03-30,1585526400,0.718866311
2020-03-31,1585612800,0.7840902942
2020-04-01,1585699200,0.8123337997
2020-04-02,1585785600,0.7541517674
2020-04-03,1585872000,0.8405249415
2020-04-04,1585958400,1.0267962094
2020-04-05,1586044800,0.7894920298
2020-04-06,1586131200,0.8357871305
2020-04-07,1586217600,0.8111265967
2020-04-08,1586304000,0.9346339196
2020-04-09,1586390400,0.8770923734
2020-04-10,1586476800,0.8481744432
2020-04-11,1586563200,0.8114100593
2020-04-12,1586649600,1.0885429251
2020-04-13,1586736000,0.8877876282
2020-04-14,1586822400,0.846313652
2020-04-15,1586908800,0.877420193
2020-04-16,1586995200,0.8655172784
2020-04-17,1587081600,0.8805315238
2020-04-18,1587168000,0.9884484005
2020-04-19,1587254400,0.9520819932
2020-04-20,1587340800,0.7779886704
2020-04-21,1587427200,0.8434599043
2020-04-22,1587513600,0.7601101096
2020-04-23,1587600000,0.8672434409
2020-04-24,1587686400,0.8488395195
2020-04-25,1587772800,1.0143980102
2020-04-26,1587859200,1.3443236415
2020-04-27,1587945600,1.1713254828
2020-04-28,1588032000,1.0030698713
2020-04-29,1588118400,0.9238319026
2020-04-30,1588204800,0.9827982656
2020-05-01,1588291200,1.0491256035
2020-05-02,1588377600,1.0590323273
2020-05-03,1588464000,1.0726664674
2020-05-04,1588550400,1.010035745
2020-05-05,1588636800,1.0699186137
2020-05-06,1588723200,1.1970888758
2020-05-07,1588809600,1.286447674
2020-05-08,1588896000,1.1126366684
2020-05-09,1588982400,1.2517485938
2020-05-10,1589068800,1.2675643849
2020-05-11,1589155200,1.4704699941
2020-05-12,1589241600,1.1339376721
2020-05-13,1589328000,1.1308176688
2020-05-14,1589414400,1.0653115758
2020-05-15,1589500800,0.9537300432
2020-05-16,1589587200,1.6552532837
2020-05-17,1589673600,1.2776444521
2020-05-18,1589760000,1.3438408665
2020-05-19,1589846400,1.235813291
2020-05-20,1589932800,1.09451171
2020-05-21,1590019200,1.0641833158
2020-05-22,1590105600,1.1322956113
2020-05-23,1590192000,1.0602425226
2020-05-24,1590278400,1.1131553738
2020-05-25,1590364800,1.1840232507
2020-05-26,1590451200,1.3743156196
2020-05-27,1590537600,1.2037112414
2020-05-28,1590624000,1.013116189
2020-05-29,1590710400,0.8623969152
2020-05-30,1590796800,1.0623605615
2020-05-31,1590883200,0.9643318908
2020-06-01,1590969600,1.1227668397
2020-06-02,1591056000,1.1729375104
2020-06-03,1591142400,1.5457689752
2020-06-04,1591228800,1.0910021646
2020-06-05,1591315200,1.1834027853
2020-06-06,1591401600,1.5398906555
2020-06-07,1591488000,1.6890210329
2020-06-08,1591574400,1.9573158091
2020-06-09,1591660800,1.3950080212
2020-06-10,1591747200,1.2339392012
2020-06-11,1591833600,1.3241029955
2020-06-12,1591920000,1.1387483378
2020-06-13,1592006400,1.2501028659
2020-06-14,1592092800,1.2243997342
2020-06-15,1592179200,1.2190381277
2020-06-16,1592265600,1.3204842662
2020-06-17,1592352000,1.2309114257
2020-06-18,1592438400,1.3785721146
2020-06-19,1592524800,1.2654993505
2020-06-20,1592611200,1.3413010402
2020-06-21,1592697600,1.4124489173
2020-06-22,1592784000,1.2611441796
2020-06-23,1592870400,1.2769768233
2020-06-24,1592956800,1.0133754983
2020-06-25,1593043200,1.1340893198
2020-06-26,1593129600,1.4986413445
2020-06-27,1593216000,1.2468851732
2020-06-28,1593302400,1.2467982061
2020-06-29,1593388800,1.2586450673
2020-06-30,1593475200,1.1116708612
2020-07-01,1593561600,1.1548889041
2020-07-02,1593648000,1.1716765129
2020-07-03,1593734400,1.2280753536
2020-07-04,1593820800,1.1378406867
2020-07-05,1593907200,1.1873101014
2020-07-06,1593993600,1.1559189368
2020-07-07,1594080000,1.2011603284
2020-07-08,1594166400,1.7574612947
2020-07-09,1594252800,1.281988762
2020-07-10,1594339200,1.2143906715
2020-07-11,1594425600,1.2825961438
2020-07-12,1594512000,1.2845640325
2020-07-13,1594598400,0.9522238217
2020-07-14,1594684800,1.5266102057
2020-07-15,1594771200,1.5251410464
2020-07-16,1594857600,1.1585648713
2020-07-17,1594944000,1.0091037328
2020-07-18,1595030400,1.1550880552
2020-07-19,1595116800,1.4666694228
2020-07-20,1595203200,1.1694878352
2020-07-21,1595289600,0.9731939624
2020-07-22,1595376000,1.2603077962
2020-07-23,1595462400,1.255334186
2020-07-24,1595548800,1.2499992642
2020-07-25,1595635200,1.2518463869
2020-07-26,1595721600,1.217034864
2020-07-27,1595808000,1.2455854934
2020-07-28,1595894400,1.3497397335
2020-07-29,1595980800,1.4117866242
2020-07-30,1596067200,1.3628824701
2020-07-31,1596153600,1.8283407686
2020-08-01,1596240000,1.2658807295
2020-08-02,1596326400,1.4730504843
2020-08-03,1596412800,1.5440447687
2020-08-04,1596499200,1.2496152216
2020-08-05,1596585600,1.3026188063
