d,unixTs,reserves
2020-01-01,1577836800,2580905.37369
2020-01-02,1577923200,2582908.67316
2020-01-03,1578009600,2584605.99616
2020-01-04,1578096000,2590459.34103
2020-01-05,1578182400,2590386.50927
2020-01-06,1578268800,2585783.42617
2020-01-07,1578355200,2592193.09293
2020-01-08,1578441600,2600386.25455
2020-01-09,1578528000,2607705.79632
2020-01-10,1578614400,2620458.75876
2020-01-11,1578700800,2626574.35671
2020-01-12,1578787200,2633514.50031
2020-01-13,1578873600,2642358.06343
2020-01-14,1578960000,2665251.64506
2020-01-15,1579046400,2684480.30229
2020-01-16,1579132800,2686695.45899
2020-01-17,1579219200,2688830.71484
2020-01-18,1579305600,2662791.09916
2020-01-19,1579392000,2664493.30640
2020-01-20,1579478400,2664935.06334
2020-01-21,1579564800,2666524.11699
2020-01-22,1579651200,2667141.10822
2020-01-23,1579737600,2669567.35414
2020-01-24,1579824000,2665782.58424
2020-01-25,1579910400,2663936.75181
2020-01-26,1579996800,2657758.45578
2020-01-27,1580083200,2668519.41484
2020-01-28,1580169600,2673684.46742
2020-01-29,1580256000,2678306.16873
2020-01-30,1580342400,2682635.37671
2020-01-31,1580428800,2673694.44831
2020-02-01,1580515200,2675230.76823
2020-02-02,1580601600,2672870.56920
2020-02-03,1580688000,2675112.57410
2020-02-04,1580774400,2679281.36248
2020-02-05,1580860800,2679347.68431
2020-02-06,1580947200,2685499.00180
2020-02-07,1581033600,2679769.94182
2020-02-08,1581120000,2683994.52835
2020-02-09,1581206400,2693494.06446
2020-02-10,1581292800,2705266.57955
2020-02-11,1581379200,2702665.80377
2020-02-12,1581465600,2716533.57294
2020-02-13,1581552000,2709851.88143
2020-02-14,1581638400,2705931.88280
2020-02-15,1581724800,2707651.14314
2020-02-16,1581811200,2715736.35176
2020-02-17,1581897600,2713115.48221
2020-02-18,1581984000,2716516.00279
2020-02-19,1582070400,2721084.85146
2020-02-20,1582156800,2724953.08989
2020-02-21,1582243200,2723253.66270
2020-02-22,1582329600,2728952.03565
2020-02-23,1582416000,2690137.62428
2020-02-24,1582502400,2688443.54344
2020-02-25,1582588800,2690075.97089
2020-02-26,1582675200,2687273.72771
2020-02-27,1582761600,2685728.62167
2020-02-28,1582848000,2676459.83581
2020-02-29,1582934400,2666376.38092
2020-03-01,1583020800,2664676.23372
2020-03-02,1583107200,2675099.68735
2020-03-03,1583193600,2660243.52641
2020-03-04,1583280000,2648731.55286
2020-03-05,1583366400,2646509.14280
2020-03-06,1583452800,2631378.49398
2020-03-07,1583539200,2628083.40239
2020-03-08,1583625600,2624686.71456
2020-03-09,1583712000,2630644.30983
2020-03-10,1583798400,2637698.47248
2020-03-11,1583884800,2613772.94689
2020-03-12,1583971200,2625401.91563
2020-03-13,1584057600,2614600.34510
2020-03-14,1584144000,2608086.26866
2020-03-15,1584230400,2615482.60949
2020-03-16,1584316800,2605743.83498
2020-03-17,1584403200,2608969.68618
2020-03-18,1584489600,2602363.25238
2020-03-19,1584576000,2553774.26304
2020-03-20,1584662400,2517746.28448
2020-03-21,1584748800,2519021.89584
2020-03-22,1584835200,2522582.86720
2020-03-23,1584921600,2494191.50919
2020-03-24,1585008000,2450908.27480
2020-03-25,1585094400,2445577.03448
2020-03-26,1585180800,2442577.09388
2020-03-27,1585267200,2438458.71823
2020-03-28,1585353600,2438661.60794
2020-03-29,1585440000,2442294.92539
2020-03-30,1585526400,2441795.39870
2020-03-31,1585612800,2434083.59676
2020-04-01,1585699200,2435310.61514
2020-04-02,1585785600,2431573.98536
2020-04-03,1585872000,2432209.05620
2020-04-04,1585958400,2432048.64786
2020-04-05,1586044800,2430736.98605
2020-04-06,1586131200,2437155.85420
2020-04-07,1586217600,2436967.50387
2020-04-08,1586304000,2433622.36341
2020-04-09,1586390400,2439696.57349
2020-04-10,1586476800,2445133.05048
2020-04-11,1586563200,2443888.98286
2020-04-12,1586649600,2441484.45529
2020-04-13,1586736000,2447645.67033
2020-04-14,1586822400,2446882.69544
2020-04-15,1586908800,2447610.91795
2020-04-16,1586995200,2470131.30355
2020-04-17,1587081600,2444021.10925
2020-04-18,1587168000,2442380.26908
2020-04-19,1587254400,2449928.80097
2020-04-20,1587340800,2447780.17009
2020-04-21,1587427200,2445896.27294
2020-04-22,1587513600,2440552.01661
2020-04-23,1587600000,2445513.58392
2020-04-24,1587686400,2442880.51406
2020-04-25,1587772800,2444308.94293
2020-04-26,1587859200,2433735.12436
2020-04-27,1587945600,2448374.77324
2020-04-28,1588032000,2445267.90976
2020-04-29,1588118400,2464431.34898
2020-04-30,1588204800,2468813.96182
2020-05-01,1588291200,2456074.47677
2020-05-02,1588377600,2458814.25066
2020-05-03,1588464000,2461022.57905
2020-05-04,1588550400,2468952.35393
2020-05-05,1588636800,2461085.39402
2020-05-06,1588723200,2448282.77128
2020-05-07,1588809600,2450863.67981
2020-05-08,1588896000,2430222.05646
2020-05-09,1588982400,2435284.77754
2020-05-10,1589068800,2436099.74889
2020-05-11,1589155200,2435761.30102
2020-05-12,1589241600,2410368.53242
2020-05-13,1589328000,2395497.21545
2020-05-14,1589414400,2404054.34772
2020-05-15,1589500800,2401624.65698
2020-05-16,1589587200,2404583.71765
2020-05-17,1589673600,2402297.06389
2020-05-18,1589760000,2411837.25476
2020-05-19,1589846400,2410805.44611
2020-05-20,1589932800,2416503.46558
2020-05-21,1590019200,2432019.34930
2020-05-22,1590105600,2418025.06942
2020-05-23,1590192000,2418785.42808
2020-05-24,1590278400,2414883.49241
2020-05-25,1590364800,2412067.63895
2020-05-26,1590451200,2410174.58916
2020-05-27,1590537600,2408929.90336
2020-05-28,1590624000,2412151.44158
2020-05-29,1590710400,2406668.09005
2020-05-30,1590796800,2410524.44253
2020-05-31,1590883200,2417081.67577
2020-06-01,1590969600,2418823.24197
2020-06-02,1591056000,2397475.64437
2020-06-03,1591142400,2397604.53265
2020-06-04,1591228800,2399203.03151
2020-06-05,1591315200,2392960.17425
2020-06-06,1591401600,2397221.23111
2020-06-07,1591488000,2398871.22636
2020-06-08,1591574400,2394788.47981
2020-06-09,1591660800,2390981.18797
2020-06-10,1591747200,2390462.04934
2020-06-11,1591833600,2372649.72395
2020-06-12,1591920000,2374602.55401
2020-06-13,1592006400,2378834.86336
2020-06-14,1592092800,2384195.94150
2020-06-15,1592179200,2388601.56424
2020-06-16,1592265600,2387778.75554
2020-06-17,1592352000,2388049.23305
2020-06-18,1592438400,2385103.13198
2020-06-19,1592524800,2390642.27534
2020-06-20,1592611200,2393327.24079
2020-06-21,1592697600,2399879.94839
2020-06-22,1592784000,2410343.07058
2020-06-23,1592870400,2385192.97421
2020-06-24,1592956800,2396042.79697
2020-06-25,1593043200,2398983.35925
2020-06-26,1593129600,2398955.69280
2020-06-27,1593216000,2399583.41677
2020-06-28,1593302400,2399417.62712
2020-06-29,1593388800,2400395.58151
2020-06-30,1593475200,2398472.39837
2020-07-01,1593561600,2403946.93854
2020-07-02,1593648000,2407566.05067
2020-07-03,1593734400,2394304.18295
2020-07-04,1593820800,2398460.58409
2020-07-05,1593907200,2398277.73307
2020-07-06,1593993600,2409766.86801
2020-07-07,1594080000,2414008.09078
2020-07-08,1594166400,2417590.29481
2020-07-09,1594252800,2422858.75406
2020-07-10,1594339200,2421580.66624
2020-07-11,1594425600,2429174.12347
2020-07-12,1594512000,2428954.71077
2020-07-13,1594598400,2410505.18198
2020-07-14,1594684800,2415478.78878
2020-07-15,1594771200,2411707.87676
2020-07-16,1594857600,2409896.16006
2020-07-17,1594944000,2408222.05763
2020-07-18,1595030400,2410383.92608
2020-07-19,1595116800,2406681.72540
2020-07-20,1595203200,2400865.02473
2020-07-21,1595289600,2407983.24123
2020-07-22,1595376000,2412012.45565
2020-07-23,1595462400,2393732.31013
2020-07-24,1595548800,2394967.37728
2020-07-25,1595635200,2402509.40098
2020-07-26,1595721600,2407156.39546
2020-07-27,1595808000,2423858.86116
2020-07-28,1595894400,2422657.23036
2020-07-29,1595980800,2424118.64549
2020-07-30,1596067200,2422639.31409
2020-07-31,1596153600,2429857.11768
2020-08-01,1596240000,2439519.21349
2020-08-02,1596326400,2439906.95382
2020-08-03,1596412800,2436291.79522
2020-08-04,1596499200,2437559.09694
2020-08-05,1596585600,2433595.18760
2020-08-06,1596672000,2432899.60400
2020-08-07,1596758400,2411283.78453
2020-08-08,1596844800,2416080.58121
2020-08-09,1596931200,2414442.23819
2020-08-10,1597017600,2405620.64264
2020-08-11,1597104000,2399386.90602
2020-08-12,1597190400,2396657.45461
2020-08-13,1597276800,2397122.72257
2020-08-14,1597363200,2402512.09144
2020-08-15,1597449600,2390953.54346
2020-08-16,1597536000,2390207.84372
2020-08-17,1597622400,2402937.52526
2020-08-18,1597708800,2381544.14693
2020-08-19,1597795200,2377353.48167
2020-08-20,1597881600,2372107.42395
2020-08-21,1597968000,2360892.11845
2020-08-22,1598054400,2359978.08238
2020-08-23,1598140800,2358932.70201
2020-08-24,1598227200,2365520.43606
2020-08-25,1598313600,2363641.33842
2020-08-26,1598400000,2351706.44969
2020-08-27,1598486400,2353945.55547
2020-08-28,1598572800,2354100.77986
2020-08-29,1598659200,2350411.58692
2020-08-30,1598745600,2358835.21606
2020-08-31,1598832000,2356132.10216
2020-09-01,1598918400,2358541.80275
2020-09-02,1599004800,2355805.55870
2020-09-03,1599091200,2350079.09632
2020-09-04,1599177600,2357277.97868
2020-09-05,1599264000,2358074.65814
2020-09-06,1599350400,2356024.66037
2020-09-07,1599436800,2351113.38136
2020-09-08,1599523200,2351792.43783
2020-09-09,1599609600,2346564.30577
2020-09-10,1599696000,2331175.57472
2020-09-11,1599782400,2340912.84148
2020-09-12,1599868800,2342449.93024
2020-09-13,1599955200,2341512.03865
2020-09-14,1600041600,2337292.87372
2020-09-15,1600128000,2359881.24164
2020-09-16,1600214400,2360480.94098
2020-09-17,1600300800,2355734.04608
2020-09-18,1600387200,2341446.59605
2020-09-19,1600473600,2320105.85017
2020-09-20,1600560000,2322711.31257
2020-09-21,1600646400,2332697.27771
2020-09-22,1600732800,2372318.34618
2020-09-23,1600819200,2369934.96495
2020-09-24,1600905600,2374390.85080
2020-09-25,1600992000,2362685.32586
2020-09-26,1601078400,2357374.84389
2020-09-27,1601164800,2355860.86277
2020-09-28,1601251200,2364059.30427
2020-09-29,1601337600,2358074.82153
2020-09-30,1601424000,2357935.46272
2020-10-01,1601510400,2363539.21180
2020-10-02,1601596800,2381943.71296
2020-10-03,1601683200,2384946.12718
2020-10-04,1601769600,2386229.27900
2020-10-05,1601856000,2387538.84845
2020-10-06,1601942400,2388881.50823
2020-10-07,1602028800,2393055.35177
2020-10-08,1602115200,2393069.28674
2020-10-09,1602201600,2383357.53359
2020-10-10,1602288000,2385621.62517
2020-10-11,1602374400,2390291.19626
2020-10-12,1602460800,2395143.10017
2020-10-13,1602547200,2398964.32038
2020-10-14,1602633600,2399285.58598
2020-10-15,1602720000,2400003.38180
2020-10-16,1602806400,2360628.05015
2020-10-17,1602892800,2348907.39062
2020-10-18,1602979200,2344371.49670
2020-10-19,1603065600,2396260.16535
2020-10-20,1603152000,2400506.72838
2020-10-21,1603238400,2407212.44716
2020-10-22,1603324800,2394471.87638
2020-10-23,1603411200,2381087.81456
2020-10-24,1603497600,2379579.66389
2020-10-25,1603584000,2377155.05330
2020-10-26,1603670400,2370644.54110
2020-10-27,1603756800,2379117.21370
2020-10-28,1603843200,2392455.91452
2020-10-29,1603929600,2383750.77714
2020-10-30,1604016000,2380143.83290
2020-10-31,1604102400,2387681.18008
2020-11-01,1604188800,2386564.73669
2020-11-02,1604275200,2416701.14431
2020-11-03,1604361600,2481254.73920
2020-11-04,1604448000,2483397.84444
2020-11-05,1604534400,2467337.50167
2020-11-06,1604620800,2470653.54516
2020-11-07,1604707200,2471632.39638
2020-11-08,1604793600,2474945.56704
2020-11-09,1604880000,2474411.09943
2020-11-10,1604966400,2471207.94469
2020-11-11,1605052800,2469588.09419
2020-11-12,1605139200,2458123.09806
2020-11-13,1605225600,2453214.50621
2020-11-14,1605312000,2461456.09671
2020-11-15,1605398400,2444959.23378
2020-11-16,1605484800,2442666.72937
2020-11-17,1605571200,2451993.31289
2020-11-18,1605657600,2466645.65434
2020-11-19,1605744000,2467571.27223
2020-11-20,1605830400,2467851.25278
2020-11-21,1605916800,2473054.98387
2020-11-22,1606003200,2471742.39808
2020-11-23,1606089600,2476540.79273
