d,unixTs,mvocdd
2017-01-01,1483228800,459.9236
2017-01-02,1483315200,459.9236
2017-01-03,1483401600,493.6112
2017-01-04,1483488000,517.0289
2017-01-05,1483574400,527.5483
2017-01-06,1483660800,539.3689
2017-01-07,1483747200,527.5483
2017-01-08,1483833600,527.5483
2017-01-09,1483920000,543.6881
2017-01-10,1484006400,543.6881
2017-01-11,1484092800,553.4451
2017-01-12,1484179200,543.6881
2017-01-13,1484265600,543.6881
2017-01-14,1484352000,543.6881
2017-01-15,1484438400,543.6881
2017-01-16,1484524800,543.6881
2017-01-17,1484611200,527.5483
2017-01-18,1484697600,527.5483
2017-01-19,1484784000,509.9858
2017-01-20,1484870400,479.2366
2017-01-21,1484956800,469.2707
2017-01-22,1485043200,460.6879
2017-01-23,1485129600,456.0159
2017-01-24,1485216000,460.6879
2017-01-25,1485302400,469.2707
2017-01-26,1485388800,460.6879
2017-01-27,1485475200,456.0159
2017-01-28,1485561600,455.3617
2017-01-29,1485648000,455.3617
2017-01-30,1485734400,455.3617
2017-01-31,1485820800,454.3301
2017-02-01,1485907200,440.5789
2017-02-02,1485993600,440.5789
2017-02-03,1486080000,440.5789
2017-02-04,1486166400,415.3239
2017-02-05,1486252800,415.3239
2017-02-06,1486339200,415.3239
2017-02-07,1486425600,415.3239
2017-02-08,1486512000,406.7977
2017-02-09,1486598400,406.7977
2017-02-10,1486684800,406.7977
2017-02-11,1486771200,388.3934
2017-02-12,1486857600,366.2185
2017-02-13,1486944000,388.3934
2017-02-14,1487030400,406.7977
2017-02-15,1487116800,406.7977
2017-02-16,1487203200,388.3934
2017-02-17,1487289600,406.7977
2017-02-18,1487376000,406.7977
2017-02-19,1487462400,412.1168
2017-02-20,1487548800,412.1168
2017-02-21,1487635200,420.3647
2017-02-22,1487721600,435.4038
2017-02-23,1487808000,435.4038
2017-02-24,1487894400,435.4038
2017-02-25,1487980800,435.4038
2017-02-26,1488067200,435.4038
2017-02-27,1488153600,448.8559
2017-02-28,1488240000,447.1080
2017-03-01,1488326400,452.0048
2017-03-02,1488412800,460.9495
2017-03-03,1488499200,506.5906
2017-03-04,1488585600,529.5314
2017-03-05,1488672000,509.8072
2017-03-06,1488758400,529.5314
2017-03-07,1488844800,542.6287
2017-03-08,1488931200,542.6287
2017-03-09,1489017600,542.6287
2017-03-10,1489104000,595.1480
2017-03-11,1489190400,555.5337
2017-03-12,1489276800,542.6287
2017-03-13,1489363200,555.5337
2017-03-14,1489449600,560.0120
2017-03-15,1489536000,606.9636
2017-03-16,1489622400,679.2998
2017-03-17,1489708800,724.6813
2017-03-18,1489795200,765.4762
2017-03-19,1489881600,775.1790
2017-03-20,1489968000,775.1790
2017-03-21,1490054400,840.7890
2017-03-22,1490140800,870.4182
2017-03-23,1490227200,870.4182
2017-03-24,1490313600,870.4182
2017-03-25,1490400000,884.2669
2017-03-26,1490486400,884.2669
2017-03-27,1490572800,884.2669
2017-03-28,1490659200,884.2669
2017-03-29,1490745600,884.2669
2017-03-30,1490832000,884.2669
2017-03-31,1490918400,911.1054
2017-04-01,1491004800,911.1054
2017-04-02,1491091200,882.4095
2017-04-03,1491177600,882.4095
2017-04-04,1491264000,882.4095
2017-04-05,1491350400,858.7299
2017-04-06,1491436800,817.1094
2017-04-07,1491523200,817.1094
2017-04-08,1491609600,811.2597
2017-04-09,1491696000,771.2882
2017-04-10,1491782400,771.2882
2017-04-11,1491868800,771.2882
2017-04-12,1491955200,771.2882
2017-04-13,1492041600,771.2882
2017-04-14,1492128000,771.2882
2017-04-15,1492214400,739.5061
2017-04-16,1492300800,721.9223
2017-04-17,1492387200,721.9223
2017-04-18,1492473600,707.0803
2017-04-19,1492560000,707.0803
2017-04-20,1492646400,690.7877
2017-04-21,1492732800,659.0107
2017-04-22,1492819200,659.0107
2017-04-23,1492905600,627.3133
2017-04-24,1492992000,627.3133
2017-04-25,1493078400,627.3133
2017-04-26,1493164800,627.3133
2017-04-27,1493251200,610.0200
2017-04-28,1493337600,627.3133
2017-04-29,1493424000,627.3133
2017-04-30,1493510400,627.3133
2017-05-01,1493596800,627.3133
2017-05-02,1493683200,627.3133
2017-05-03,1493769600,627.3133
2017-05-04,1493856000,643.5831
2017-05-05,1493942400,670.8890
2017-05-06,1494028800,698.0277
2017-05-07,1494115200,698.0277
2017-05-08,1494201600,703.4881
2017-05-09,1494288000,708.5690
2017-05-10,1494374400,715.0016
2017-05-11,1494460800,752.2149
2017-05-12,1494547200,752.2149
2017-05-13,1494633600,810.1010
2017-05-14,1494720000,752.2149
2017-05-15,1494806400,810.1010
2017-05-16,1494892800,862.0673
2017-05-17,1494979200,904.9190
2017-05-18,1495065600,949.5550
2017-05-19,1495152000,997.9735
2017-05-20,1495238400,1092.7948
2017-05-21,1495324800,1180.6939
2017-05-22,1495411200,1255.4298
2017-05-23,1495497600,1352.4947
2017-05-24,1495584000,1406.0910
2017-05-25,1495670400,1446.0202
2017-05-26,1495756800,1584.5843
2017-05-27,1495843200,1732.3168
2017-05-28,1495929600,1655.6233
2017-05-29,1496016000,1655.6233
2017-05-30,1496102400,1732.3168
2017-05-31,1496188800,1732.3168
2017-06-01,1496275200,1741.1101
2017-06-02,1496361600,1741.1101
2017-06-03,1496448000,1696.5986
2017-06-04,1496534400,1696.5986
2017-06-05,1496620800,1782.2118
2017-06-06,1496707200,1805.7861
2017-06-07,1496793600,1805.6596
2017-06-08,1496880000,1805.6596
2017-06-09,1496966400,1945.9589
2017-06-10,1497052800,1945.9589
2017-06-11,1497139200,2083.4477
2017-06-12,1497225600,2108.1086
2017-06-13,1497312000,2132.8434
2017-06-14,1497398400,2154.8232
2017-06-15,1497484800,2193.4947
2017-06-16,1497571200,2274.1602
2017-06-17,1497657600,2274.1602
2017-06-18,1497744000,2449.8649
2017-06-19,1497830400,2490.4943
2017-06-20,1497916800,2586.1769
2017-06-21,1498003200,2490.4943
2017-06-22,1498089600,2388.2178
2017-06-23,1498176000,2347.5883
2017-06-24,1498262400,2274.1602
2017-06-25,1498348800,2193.4947
2017-06-26,1498435200,2193.4947
2017-06-27,1498521600,2193.4947
2017-06-28,1498608000,2193.4947
2017-06-29,1498694400,2145.4442
2017-06-30,1498780800,2145.4442
2017-07-01,1498867200,2123.4644
2017-07-02,1498953600,2123.4644
2017-07-03,1499040000,2145.4442
2017-07-04,1499126400,2145.4442
2017-07-05,1499212800,2226.1098
2017-07-06,1499299200,2123.4644
2017-07-07,1499385600,2123.4644
2017-07-08,1499472000,2123.4644
2017-07-09,1499558400,2083.0805
2017-07-10,1499644800,1896.6752
2017-07-11,1499731200,1724.1504
2017-07-12,1499817600,1697.3900
2017-07-13,1499904000,1661.8013
2017-07-14,1499990400,1661.8013
2017-07-15,1500076800,1592.6851
2017-07-16,1500163200,1536.2936
2017-07-17,1500249600,1592.6851
2017-07-18,1500336000,1536.2936
2017-07-19,1500422400,1517.4351
2017-07-20,1500508800,1517.4351
2017-07-21,1500595200,1517.4351
2017-07-22,1500681600,1510.2627
2017-07-23,1500768000,1510.2627
2017-07-24,1500854400,1517.9730
2017-07-25,1500940800,1536.2936
2017-07-26,1501027200,1592.6851
2017-07-27,1501113600,1661.8013
2017-07-28,1501200000,1661.8013
2017-07-29,1501286400,1704.8732
2017-07-30,1501372800,1704.8732
2017-07-31,1501459200,1728.8010
2017-08-01,1501545600,1736.3625
2017-08-02,1501632000,1736.3625
2017-08-03,1501718400,1779.3136
2017-08-04,1501804800,1779.3136
2017-08-05,1501891200,1939.6263
2017-08-06,1501977600,2089.9292
2017-08-07,1502064000,2355.2087
2017-08-08,1502150400,3139.8104
2017-08-09,1502236800,3952.3155
2017-08-10,1502323200,3952.3155
2017-08-11,1502409600,3952.3155
2017-08-12,1502496000,4757.6363
2017-08-13,1502582400,5529.8628
2017-08-14,1502668800,5529.8628
2017-08-15,1502755200,5529.8628
2017-08-16,1502841600,5529.8628
2017-08-17,1502928000,5529.8628
2017-08-18,1503014400,5566.3696
2017-08-19,1503100800,5739.7045
2017-08-20,1503187200,6030.8862
2017-08-21,1503273600,6030.8862
2017-08-22,1503360000,6350.5583
2017-08-23,1503446400,6550.1685
2017-08-24,1503532800,6350.5583
2017-08-25,1503619200,6350.5583
2017-08-26,1503705600,6350.5583
2017-08-27,1503792000,6030.8862
2017-08-28,1503878400,5739.7045
2017-08-29,1503964800,5739.7045
2017-08-30,1504051200,5739.7045
2017-08-31,1504137600,5881.5919
2017-09-01,1504224000,5707.9410
2017-09-02,1504310400,5529.8628
2017-09-03,1504396800,5447.8510
2017-09-04,1504483200,5338.2211
2017-09-05,1504569600,5125.2569
2017-09-06,1504656000,4813.9813
2017-09-07,1504742400,4435.3607
2017-09-08,1504828800,4142.9676
2017-09-09,1504915200,4142.9676
2017-09-10,1505001600,4142.9676
2017-09-11,1505088000,4081.1033
2017-09-12,1505174400,3948.1425
2017-09-13,1505260800,3811.4998
2017-09-14,1505347200,3789.6813
2017-09-15,1505433600,3811.4998
2017-09-16,1505520000,3789.6813
2017-09-17,1505606400,3780.7447
2017-09-18,1505692800,3721.9852
2017-09-19,1505779200,3653.8299
2017-09-20,1505865600,3570.6193
2017-09-21,1505952000,3389.9097
2017-09-22,1506038400,3389.9097
2017-09-23,1506124800,3260.9678
2017-09-24,1506211200,3089.8303
2017-09-25,1506297600,3089.8303
2017-09-26,1506384000,3089.8303
2017-09-27,1506470400,2918.3072
2017-09-28,1506556800,2884.1561
2017-09-29,1506643200,2781.2486
2017-09-30,1506729600,2781.2486
2017-10-01,1506816000,2680.4830
2017-10-02,1506902400,2680.4830
2017-10-03,1506988800,2680.4830
2017-10-04,1507075200,2638.6207
2017-10-05,1507161600,2638.6207
2017-10-06,1507248000,2638.6207
2017-10-07,1507334400,2638.6207
2017-10-08,1507420800,2680.4830
2017-10-09,1507507200,2744.4364
2017-10-10,1507593600,2813.7361
2017-10-11,1507680000,2744.4364
2017-10-12,1507766400,2813.7361
2017-10-13,1507852800,2813.7361
2017-10-14,1507939200,2813.7361
2017-10-15,1508025600,2813.7361
2017-10-16,1508112000,2861.1336
2017-10-17,1508198400,3217.1911
2017-10-18,1508284800,3521.8926
2017-10-19,1508371200,3779.0195
2017-10-20,1508457600,3815.8095
2017-10-21,1508544000,3815.8095
2017-10-22,1508630400,3815.8095
2017-10-23,1508716800,4099.6646
2017-10-24,1508803200,4233.7981
2017-10-25,1508889600,4233.7981
2017-10-26,1508976000,4099.6646
2017-10-27,1509062400,4099.6646
2017-10-28,1509148800,4099.6646
2017-10-29,1509235200,4099.6646
2017-10-30,1509321600,4233.7981
2017-10-31,1509408000,4503.0786
