d,unixTs,nupl
2020-01-01,1577836800,0.2233
2020-01-02,1577923200,0.1984
2020-01-03,1578009600,0.2386
2020-01-04,1578096000,0.2416
2020-01-05,1578182400,0.2418
2020-01-06,1578268800,0.2823
2020-01-07,1578355200,0.3145
2020-01-08,1578441600,0.3076
2020-01-09,1578528000,0.2858
2020-01-10,1578614400,0.3128
2020-01-11,1578700800,0.3044
2020-01-12,1578787200,0.3155
2020-01-13,1578873600,0.3117
2020-01-14,1578960000,0.3649
2020-01-15,1579046400,0.3625
2020-01-16,1579132800,0.3552
2020-01-17,1579219200,0.3686
2020-01-18,1579305600,0.3694
2020-01-19,1579392000,0.352
2020-01-20,1579478400,0.3482
2020-01-21,1579564800,0.355
2020-01-22,1579651200,0.3487
2020-01-23,1579737600,0.3268
2020-01-24,1579824000,0.3311
2020-01-25,1579910400,0.3247
2020-01-26,1579996800,0.3425
2020-01-27,1580083200,0.3663
2020-01-28,1580169600,0.3924
2020-01-29,1580256000,0.3922
2020-01-30,1580342400,0.4037
2020-01-31,1580428800,0.393
2020-02-01,1580515200,0.3943
2020-02-02,1580601600,0.3916
2020-02-03,1580688000,0.3872
2020-02-04,1580774400,0.3792
2020-02-05,1580860800,0.4086
2020-02-06,1580947200,0.4137
2020-02-07,1581033600,0.4151
2020-02-08,1581120000,0.4208
2020-02-09,1581206400,0.4339
2020-02-10,1581292800,0.4164
2020-02-11,1581379200,0.438
2020-02-12,1581465600,0.442
2020-02-13,1581552000,0.4346
2020-02-14,1581638400,0.4408
2020-02-15,1581724800,0.4155
2020-02-16,1581811200,0.4176
2020-02-17,1581897600,0.4014
2020-02-18,1581984000,0.43
2020-02-19,1582070400,0.3968
2020-02-20,1582156800,0.3955
2020-02-21,1582243200,0.4008
2020-02-22,1582329600,0.399
2020-02-23,1582416000,0.4165
2020-02-24,1582502400,0.3967
2020-02-25,1582588800,0.3764
2020-02-26,1582675200,0.3384
2020-02-27,1582761600,0.3373
2020-02-28,1582848000,0.3353
2020-02-29,1582934400,0.3224
2020-03-01,1583020800,0.3194
2020-03-02,1583107200,0.3469
2020-03-03,1583193600,0.3364
2020-03-04,1583280000,0.3371
2020-03-05,1583366400,0.3593
2020-03-06,1583452800,0.365
2020-03-07,1583539200,0.3473
2020-03-08,1583625600,0.2843
2020-03-09,1583712000,0.2663
2020-03-10,1583798400,0.2683
2020-03-11,1583884800,0.2729
2020-03-12,1583971200,-0.1396
2020-03-13,1584057600,0.0023
2020-03-14,1584144000,-0.0876
2020-03-15,1584230400,-0.0431
2020-03-16,1584316800,-0.1104
2020-03-17,1584403200,-0.026
2020-03-18,1584489600,-0.0299
2020-03-19,1584576000,0.104
2020-03-20,1584662400,0.1013
2020-03-21,1584748800,0.1017
2020-03-22,1584835200,0.0487
2020-03-23,1584921600,0.1446
2020-03-24,1585008000,0.1797
2020-03-25,1585094400,0.1695
2020-03-26,1585180800,0.1772
2020-03-27,1585267200,0.1444
2020-03-28,1585353600,0.1093
2020-03-29,1585440000,0.0609
2020-03-30,1585526400,0.1388
2020-03-31,1585612800,0.1386
2020-04-01,1585699200,0.1683
2020-04-02,1585785600,0.1865
2020-04-03,1585872000,0.1817
2020-04-04,1585958400,0.1945
2020-04-05,1586044800,0.1863
2020-04-06,1586131200,0.2417
2020-04-07,1586217600,0.2303
2020-04-08,1586304000,0.2491
2020-04-09,1586390400,0.2415
2020-04-10,1586476800,0.1961
2020-04-11,1586563200,0.1989
2020-04-12,1586649600,0.2098
2020-04-13,1586736000,0.1968
2020-04-14,1586822400,0.1983
2020-04-15,1586908800,0.1684
2020-04-16,1586995200,0.2268
2020-04-17,1587081600,0.2217
2020-04-18,1587168000,0.2409
2020-04-19,1587254400,0.229
2020-04-20,1587340800,0.1961
2020-04-21,1587427200,0.1983
2020-04-22,1587513600,0.2266
2020-04-23,1587600000,0.2636
2020-04-24,1587686400,0.2649
2020-04-25,1587772800,0.2678
2020-04-26,1587859200,0.2815
2020-04-27,1587945600,0.2887
2020-04-28,1588032000,0.2878
2020-04-29,1588118400,0.3636
2020-04-30,1588204800,0.3539
2020-05-01,1588291200,0.3677
2020-05-02,1588377600,0.3757
2020-05-03,1588464000,0.3696
2020-05-04,1588550400,0.3681
2020-05-05,1588636800,0.3748
2020-05-06,1588723200,0.3924
2020-05-07,1588809600,0.4326
2020-05-08,1588896000,0.4236
2020-05-09,1588982400,0.4066
2020-05-10,1589068800,0.3483
2020-05-11,1589155200,0.3396
2020-05-12,1589241600,0.3565
2020-05-13,1589328000,0.3903
2020-05-14,1589414400,0.4191
2020-05-15,1589500800,0.3894
2020-05-16,1589587200,0.3937
2020-05-17,1589673600,0.4113
2020-05-18,1589760000,0.4128
2020-05-19,1589846400,0.4136
2020-05-20,1589932800,0.3988
2020-05-21,1590019200,0.3695
2020-05-22,1590105600,0.3759
2020-05-23,1590192000,0.3772
2020-05-24,1590278400,0.3507
2020-05-25,1590364800,0.3586
2020-05-26,1590451200,0.3533
2020-05-27,1590537600,0.3764
2020-05-28,1590624000,0.402
2020-05-29,1590710400,0.3931
2020-05-30,1590796800,0.409
2020-05-31,1590883200,0.3929
2020-06-01,1590969600,0.4365
2020-06-02,1591056000,0.396
2020-06-03,1591142400,0.4037
2020-06-04,1591228800,0.4135
2020-06-05,1591315200,0.403
2020-06-06,1591401600,0.4044
2020-06-07,1591488000,0.409
2020-06-08,1591574400,0.4093
2020-06-09,1591660800,0.4095
2020-06-10,1591747200,0.4156
2020-06-11,1591833600,0.3775
2020-06-12,1591920000,0.3891
2020-06-13,1592006400,0.3893
2020-06-14,1592092800,0.3815
2020-06-15,1592179200,0.3877
2020-06-16,1592265600,0.3925
2020-06-17,1592352000,0.3878
2020-06-18,1592438400,0.3825
2020-06-19,1592524800,0.3756
2020-06-20,1592611200,0.3802
2020-06-21,1592697600,0.3752
2020-06-22,1592784000,0.4005
2020-06-23,1592870400,0.3956
2020-06-24,1592956800,0.3752
2020-06-25,1593043200,0.3722
2020-06-26,1593129600,0.3646
2020-06-27,1593216000,0.3535
2020-06-28,1593302400,0.361
2020-06-29,1593388800,0.3661
2020-06-30,1593475200,0.363
2020-07-01,1593561600,0.3696
2020-07-02,1593648000,0.3594
2020-07-03,1593734400,0.3574
2020-07-04,1593820800,0.3615
2020-07-05,1593907200,0.3582
2020-07-06,1593993600,0.3757
2020-07-07,1594080000,0.3698
2020-07-08,1594166400,0.381
2020-07-09,1594252800,0.3673
2020-07-10,1594339200,0.3708
2020-07-11,1594425600,0.3675
