d,unixTs,binance,bybit,okx,bitget,deribit,bitmex,huobi,bitfinex,gateIo,kucoin,kraken,cryptoCom,dydx,deltaExchange,openInterestFutures
2020-08-01,1596240000,487687572.9963,409794538.8194,1261926970.3572,,241740539.6031,1043088816.8491,780504927.0984,63777743.4322,,,,,,,
2020-08-02,1596326400,526532968.5574,456766105.0834,1290562752.3659,,242427090.7785,1020783616.0472,841063158.0378,74518619.9946,,,,,,,
2020-08-03,1596412800,381637671.9760,361592013.8657,1155813965.3072,,237803584.8084,910922813.4679,747335228.3202,72794435.1753,,,,,,,
2020-08-04,1596499200,395824381.4008,382179957.9736,1121253849.6619,,229092477.6240,922006788.6047,749921275.2254,73760437.5482,,,,,,,
2020-08-05,1596585600,399513116.5732,356185927.1391,1144919211.4261,,232926386.6576,924371469.1241,762526269.5867,73613192.9108,,,,,,,
2020-08-06,1596672000,450547375.2646,375388689.6145,1204495409.5270,,245077686.6740,966365386.5127,779544092.3101,78835813.7688,,,,,,,
2020-08-07,1596758400,463363752.8994,406475897.8367,1206757615.5838,,245184172.4200,973026626.2336,804020963.7502,83150944.2262,,,,,,,
2020-08-08,1596844800,412537599.9432,381781428.6378,1175987334.6138,,250313664.9099,980210343.7843,797544708.8775,82237244.8624,,,,,,,
2020-08-09,1596931200,439275026.7307,356956824.2382,1187676475.6720,,250150491.5754,948637443.0932,785949727.8965,85557872.0047,,,,,,,
2020-08-10,1597017600,442731765.2989,380299733.5595,1191001441.2018,,250669858.4452,986238132.5719,806788299.7553,85030653.4440,,,,,,,
2020-08-11,1597104000,449025706.0899,410333452.3637,1234327114.2252,,253910060.1269,1004810324.7368,832837597.0840,89678974.2635,,,,,,,
2020-08-12,1597190400,452107457.8256,400944167.8434,1188978288.6021,,266777825.2790,997881953.3139,801549337.5093,85662640.1647,,,,,,,
2020-08-13,1597276800,455005361.5258,381341582.4074,1179812722.9825,,258662660.4349,979131330.0552,764340404.2326,,,,,,,,
2020-08-14,1597363200,449807178.3369,398985509.5959,1201584012.2412,,264599927.2110,967633036.5268,757932713.3683,86887748.3382,,,,,,,
2020-08-15,1597449600,445205266.0121,411851452.6947,1206705655.1065,,270953725.8051,990042296.1121,733898164.6392,88274291.1741,,,,,,,
2020-08-16,1597536000,457513374.4880,409862000.3623,1232861634.2501,,269791157.4963,1014395008.3498,755602538.9409,90987645.9588,,,,,,,
2020-08-17,1597622400,468908906.1823,445678207.5698,1236913378.4712,,269850885.3910,1001899203.4078,749068305.6840,91787761.0387,,,,,,,
2020-08-18,1597708800,497315172.5135,467695939.7376,1308618434.2505,,270820036.2826,1057786291.0471,792593444.8659,98626242.0863,,,,,,,
2020-08-19,1597795200,511190852.9508,463689028.6414,1220553032.4522,,278936957.4901,1006323580.6986,716330976.0087,96462347.9061,,,,,,,
2020-08-20,1597881600,475925584.8098,444422256.8542,1158495807.1799,,269853236.9420,975646277.8805,707664820.9333,94702978.2468,,,,,,,
2020-08-21,1597968000,465842500.6852,464756670.2537,1149621717.2986,,271503762.9929,954883565.0935,690250805.0065,95526518.6427,,,,,,,
2020-08-22,1598054400,444583942.0178,454957174.2439,1145281754.5385,,268570643.3463,1001983484.5785,710239906.7818,91308287.0476,,,,,,,
2020-08-23,1598140800,438165641.1343,428166182.9736,1144849266.0217,,264173490.6697,965649763.8319,690463410.5582,91448147.4635,,,,,,,
2020-08-24,1598227200,438411263.1463,427148426.5696,1144034349.0776,,266414707.7137,978327617.9949,684104144.9048,91065718.4518,,,,,,,
2020-08-25,1598313600,464409555.8628,437449814.4898,1138493500.7497,,269764894.4848,989476700.9245,688400944.5005,91920879.3107,,,,,,,
2020-08-26,1598400000,481083411.8637,419051933.4563,1068411927.7044,,284914050.6218,1001106150.4736,698823845.8457,79989365.1626,,,,,,,
2020-08-27,1598486400,466674151.4585,382859507.2566,1030362566.5814,,270921274.9101,967712951.0313,676938758.7787,78184401.2685,,,,,,,
2020-08-28,1598572800,468607051.8259,382909909.1481,1012767065.6829,,269670786.9513,990416070.0649,737673899.4886,71827136.5285,,,,,,,
2020-08-29,1598659200,481357850.6956,380260505.8482,987534645.3725,,251045643.5610,989977340.8723,691686734.3521,70674075.3205,,,,,,,
2020-08-30,1598745600,481442370.7975,379147437.4711,976586045.3317,,252162687.0864,990554800.9558,697907170.3267,70327926.8116,,,,,,,
2020-08-31,1598832000,498321676.1718,394038220.2864,994834756.6259,,257585859.3236,1000217471.4052,701228794.1717,74463429.5652,,,,,,,
2020-09-01,1598918400,514887991.5769,390859106.7373,1002275992.7303,,257917925.3686,1013607360.5600,694687077.2994,76555121.6123,,,,,,,
2020-09-02,1599004800,530215828.9573,396941492.6144,1118944380.5030,,259961896.2548,1037562442.8038,741847463.0305,80644983.7932,,,,,,,
2020-09-03,1599091200,474041737.7131,418942119.5040,1022441048.0285,,260271378.8775,967058278.9587,655456731.6242,76986602.3773,,,,,,,
2020-09-04,1599177600,357626882.3824,295069253.8958,908021329.1774,,267112858.5806,855346192.3842,599441207.3985,61545166.9230,,,,,,,
2020-09-05,1599264000,376166894.5045,225894759.0985,822399922.6647,,236741852.3556,815568920.7376,487915681.2055,62954755.3813,,,,,,,
2020-09-06,1599350400,374465019.2425,221533591.9047,841033698.2955,,232720815.3060,785841341.0680,501450783.9323,61064378.4241,,,,,,,
2020-09-07,1599436800,389283581.3079,224451599.0591,834848589.2991,,233543081.4360,790857117.8865,491953899.1022,61823153.3309,,,,,,,
2020-09-08,1599523200,398316128.6848,230045444.5090,819666529.0319,,247545606.6200,779183139.5655,494795123.0465,62324045.6602,,,,,,,
