d,unixTs,realizedLossLth
2017-01-01,1483228800,-32.99608120
2017-01-02,1483315200,-33.76219350
2017-01-03,1483401600,-31.73500790
2017-01-04,1483488000,-28.81745190
2017-01-05,1483574400,-25.98993040
2017-01-06,1483660800,-23.43215300
2017-01-07,1483747200,-24.01541150
2017-01-08,1483833600,-29.62775840
2017-01-09,1483920000,-26.75477110
2017-01-10,1484006400,-26.11303280
2017-01-11,1484092800,-142.31399620
2017-01-12,1484179200,-126.18765410
2017-01-13,1484265600,-113.89494680
2017-01-14,1484352000,-102.00199800
2017-01-15,1484438400,-93.88762900
2017-01-16,1484524800,-82.77736060
2017-01-17,1484611200,-73.66408720
2017-01-18,1484697600,-66.21097640
2017-01-19,1484784000,-58.71882460
2017-01-20,1484870400,-55.06431010
2017-01-21,1484956800,-48.26366320
2017-01-22,1485043200,-42.42730020
2017-01-23,1485129600,-37.79618190
2017-01-24,1485216000,-34.59062330
2017-01-25,1485302400,-41.61194380
2017-01-26,1485388800,-37.03898070
2017-01-27,1485475200,-32.59058380
2017-01-28,1485561600,-28.72792820
2017-01-29,1485648000,-27.06571300
2017-01-30,1485734400,-23.82524630
2017-01-31,1485820800,-22.02112970
2017-02-01,1485907200,-19.78206980
2017-02-02,1485993600,-17.64304910
2017-02-03,1486080000,-50.23423780
2017-02-04,1486166400,-44.54434410
2017-02-05,1486252800,-39.55251630
2017-02-06,1486339200,-34.73859800
2017-02-07,1486425600,-31.91165070
2017-02-08,1486512000,-27.95167830
2017-02-09,1486598400,-24.59265080
2017-02-10,1486684800,-21.86692600
2017-02-11,1486771200,-19.40899210
2017-02-12,1486857600,-17.07821830
2017-02-13,1486944000,-15.36239710
2017-02-14,1487030400,-13.61410960
2017-02-15,1487116800,-12.04845170
2017-02-16,1487203200,-10.82754190
2017-02-17,1487289600,-9.57743410
2017-02-18,1487376000,-8.47610790
2017-02-19,1487462400,-7.54183740
2017-02-20,1487548800,-6.61759030
2017-02-21,1487635200,-6.08079030
2017-02-22,1487721600,-5.34571340
2017-02-23,1487808000,-4.80407770
2017-02-24,1487894400,-4.21147670
2017-02-25,1487980800,-3.69205450
2017-02-26,1488067200,-3.24703690
2017-02-27,1488153600,-2.86000070
2017-02-28,1488240000,-2.51106120
2017-03-01,1488326400,-2.27072800
2017-03-02,1488412800,-2.04362380
2017-03-03,1488499200,-1.79454630
2017-03-04,1488585600,-1.60134940
2017-03-05,1488672000,-1.40314170
2017-03-06,1488758400,-1.38633600
2017-03-07,1488844800,-1.21383880
2017-03-08,1488931200,-1.06543080
2017-03-09,1489017600,-0.93373370
2017-03-10,1489104000,-0.87230710
2017-03-11,1489190400,-0.76448280
2017-03-12,1489276800,-0.67044170
2017-03-13,1489363200,-0.60459270
2017-03-14,1489449600,-0.53070400
2017-03-15,1489536000,-0.46436840
2017-03-16,1489622400,-0.43863680
2017-03-17,1489708800,-0.43426270
2017-03-18,1489795200,-0.75447450
2017-03-19,1489881600,-1.31632800
2017-03-20,1489968000,-1.27862940
2017-03-21,1490054400,-1.40071650
2017-03-22,1490140800,-1.71952040
2017-03-23,1490227200,-1.89793410
2017-03-24,1490313600,-62.05858500
2017-03-25,1490400000,-248.09171230
2017-03-26,1490486400,-221.29154150
2017-03-27,1490572800,-194.22692870
2017-03-28,1490659200,-170.16245680
2017-03-29,1490745600,-150.47585370
2017-03-30,1490832000,-132.34932050
2017-03-31,1490918400,-115.94596260
2017-04-01,1491004800,-101.47130520
2017-04-02,1491091200,-88.79412430
2017-04-03,1491177600,-77.76542570
2017-04-04,1491264000,-68.04556610
2017-04-05,1491350400,-59.56495280
2017-04-06,1491436800,-52.12030470
2017-04-07,1491523200,-45.61847350
2017-04-08,1491609600,-39.91672090
2017-04-09,1491696000,-34.92737550
2017-04-10,1491782400,-30.56235190
2017-04-11,1491868800,-26.74330490
2017-04-12,1491955200,-23.40056930
2017-04-13,1492041600,-20.49211500
2017-04-14,1492128000,-17.93207190
2017-04-15,1492214400,-15.69150840
2017-04-16,1492300800,-13.73273730
2017-04-17,1492387200,-12.01614510
2017-04-18,1492473600,-10.53630030
2017-04-19,1492560000,-9.23996260
2017-04-20,1492646400,-8.08868230
2017-04-21,1492732800,-7.08560880
2017-04-22,1492819200,-6.20134000
2017-04-23,1492905600,-5.42617640
2017-04-24,1492992000,-4.74844190
2017-04-25,1493078400,-4.15548500
2017-04-26,1493164800,-3.77541930
2017-04-27,1493251200,-3.30640280
2017-04-28,1493337600,-2.90275370
2017-04-29,1493424000,-2.55890810
2017-04-30,1493510400,-2.23904460
2017-05-01,1493596800,-3.19820120
2017-05-02,1493683200,-2.82507560
2017-05-03,1493769600,-2.47377150
2017-05-04,1493856000,-2.16590930
2017-05-05,1493942400,-1.90980820
2017-05-06,1494028800,-1.70629360
2017-05-07,1494115200,-1.49380450
2017-05-08,1494201600,-5.08889160
2017-05-09,1494288000,-4.45319520
2017-05-10,1494374400,-3.89741950
2017-05-11,1494460800,-3.41047290
2017-05-12,1494547200,-2.98416380
2017-05-13,1494633600,-2.61131380
2017-05-14,1494720000,-2.28489960
2017-05-15,1494806400,-1.99962840
2017-05-16,1494892800,-1.74967480
2017-05-17,1494979200,-1.53116660
2017-05-18,1495065600,-1.33977080
2017-05-19,1495152000,-1.17230130
2017-05-20,1495238400,-1.02576360
2017-05-21,1495324800,-0.89754320
2017-05-22,1495411200,-0.78535030
2017-05-23,1495497600,-0.68718150
2017-05-24,1495584000,-0.60128380
2017-05-25,1495670400,-0.52612330
2017-05-26,1495756800,-0.46035790
2017-05-27,1495843200,-0.40281320
2017-05-28,1495929600,-0.35246150
2017-05-29,1496016000,-0.30840380
2017-05-30,1496102400,-0.26985340
2017-05-31,1496188800,-0.23612170
2017-06-01,1496275200,-0.20660650
2017-06-02,1496361600,-0.18078070
2017-06-03,1496448000,-0.15818310
2017-06-04,1496534400,-0.13841020
2017-06-05,1496620800,-0.12110890
2017-06-06,1496707200,-0.10597030
2017-06-07,1496793600,-0.09272400
2017-06-08,1496880000,-0.08113350
2017-06-09,1496966400,-0.07099180
2017-06-10,1497052800,-0.06211780
