d,unixTs,realizedProfitLth
2020-01-01,1577836800,2216.10749140
2020-01-02,1577923200,2452.43010620
2020-01-03,1578009600,2245.38058450
2020-01-04,1578096000,2139.23325440
2020-01-05,1578182400,1974.95688280
2020-01-06,1578268800,1866.10630750
2020-01-07,1578355200,1820.31960140
2020-01-08,1578441600,1821.92245200
2020-01-09,1578528000,1969.81845620
2020-01-10,1578614400,1931.97499920
2020-01-11,1578700800,1775.86214920
2020-01-12,1578787200,1696.95267410
2020-01-13,1578873600,1750.17226020
2020-01-14,1578960000,1876.45247430
2020-01-15,1579046400,2330.43993410
2020-01-16,1579132800,2737.60719090
2020-01-17,1579219200,2571.14739110
2020-01-18,1579305600,2394.54499860
2020-01-19,1579392000,2329.98299170
2020-01-20,1579478400,2207.05569100
2020-01-21,1579564800,2149.81369930
2020-01-22,1579651200,2104.54913590
2020-01-23,1579737600,2416.75597630
2020-01-24,1579824000,2729.14156060
2020-01-25,1579910400,2650.84628350
2020-01-26,1579996800,2504.15123130
2020-01-27,1580083200,2420.01226040
2020-01-28,1580169600,2302.27981740
2020-01-29,1580256000,3904.32328490
2020-01-30,1580342400,3643.13953410
2020-01-31,1580428800,3717.16884580
2020-02-01,1580515200,3415.51997780
2020-02-02,1580601600,3185.41252770
2020-02-03,1580688000,4809.99094880
2020-02-04,1580774400,4537.15425000
2020-02-05,1580860800,4180.53238970
2020-02-06,1580947200,4018.76108070
2020-02-07,1581033600,7637.51564290
2020-02-08,1581120000,6915.14057370
2020-02-09,1581206400,6497.72200880
2020-02-10,1581292800,8124.04521520
2020-02-11,1581379200,7483.94728110
2020-02-12,1581465600,6848.06096800
2020-02-13,1581552000,6631.22525540
2020-02-14,1581638400,6169.45688110
2020-02-15,1581724800,5591.56059030
2020-02-16,1581811200,5038.64287410
2020-02-17,1581897600,4668.61095690
2020-02-18,1581984000,4374.42081390
2020-02-19,1582070400,4580.64644460
2020-02-20,1582156800,4653.15729400
2020-02-21,1582243200,4319.75473930
2020-02-22,1582329600,3924.10976100
2020-02-23,1582416000,3612.17314170
2020-02-24,1582502400,3374.21634960
2020-02-25,1582588800,3624.06019090
2020-02-26,1582675200,3555.61914500
2020-02-27,1582761600,3359.77961770
2020-02-28,1582848000,3447.14696490
2020-02-29,1582934400,3141.57433930
2020-03-01,1583020800,2915.66802370
2020-03-02,1583107200,3554.29557090
2020-03-03,1583193600,4303.12970000
2020-03-04,1583280000,3896.42902540
2020-03-05,1583366400,3588.26763430
2020-03-06,1583452800,3432.99574620
2020-03-07,1583539200,3116.50360500
2020-03-08,1583625600,3001.45148740
2020-03-09,1583712000,3202.90202270
2020-03-10,1583798400,3153.43177570
2020-03-11,1583884800,2996.42795380
2020-03-12,1583971200,4174.35045180
2020-03-13,1584057600,4213.37609720
2020-03-14,1584144000,3972.37851870
2020-03-15,1584230400,3616.79621760
2020-03-16,1584316800,3555.75376090
2020-03-17,1584403200,3395.37289050
2020-03-18,1584489600,3106.99791870
2020-03-19,1584576000,2769.69472230
2020-03-20,1584662400,2509.25634510
2020-03-21,1584748800,2267.54903460
2020-03-22,1584835200,2198.42104890
2020-03-23,1584921600,2081.21258060
2020-03-24,1585008000,1904.19072700
2020-03-25,1585094400,2238.46333000
2020-03-26,1585180800,2513.84433320
2020-03-27,1585267200,2465.39311480
2020-03-28,1585353600,2264.17934840
2020-03-29,1585440000,2095.43505220
2020-03-30,1585526400,1893.83811270
2020-03-31,1585612800,1732.35976140
2020-04-01,1585699200,1556.28039100
2020-04-02,1585785600,1443.21398630
2020-04-03,1585872000,1331.61841170
