d,unixTs,sthSopr
2017-01-01,1483228800,1.0419152933
2017-01-02,1483315200,1.0696207318
2017-01-03,1483401600,1.0808650593
2017-01-04,1483488000,1.0866208471
2017-01-05,1483574400,1.0751278996
2017-01-06,1483660800,1.0811978214
2017-01-07,1483747200,1.0106102018
2017-01-08,1483833600,0.96604984
2017-01-09,1483920000,1.0055104181
2017-01-10,1484006400,0.9926294909
2017-01-11,1484092800,1.0061406425
2017-01-12,1484179200,1.0156723799
2017-01-13,1484265600,0.9516110123
2017-01-14,1484352000,0.9702329662
2017-01-15,1484438400,1.003838464
2017-01-16,1484524800,0.9844718938
2017-01-17,1484611200,0.9935861541
2017-01-18,1484697600,1.0074648141
2017-01-19,1484784000,1.0187229725
2017-01-20,1484870400,1.0162844315
2017-01-21,1484956800,1.0133474452
2017-01-22,1485043200,1.0354366125
2017-01-23,1485129600,1.0333613661
2017-01-24,1485216000,1.0278390322
2017-01-25,1485302400,1.0377347245
2017-01-26,1485388800,1.0127624911
2017-01-27,1485475200,1.0073383362
2017-01-28,1485561600,1.0143043355
2017-01-29,1485648000,1.0135550489
2017-01-30,1485734400,1.0206012226
2017-01-31,1485820800,1.0126087416
2017-02-01,1485907200,1.0144887512
2017-02-02,1485993600,1.0335211564
2017-02-03,1486080000,1.041238222
2017-02-04,1486166400,1.0333939271
2017-02-05,1486252800,1.0364300992
2017-02-06,1486339200,1.0440828848
2017-02-07,1486425600,1.0376733193
2017-02-08,1486512000,1.0444146225
2017-02-09,1486598400,1.0459414968
2017-02-10,1486684800,1.0575851851
2017-02-11,1486771200,0.9915742868
2017-02-12,1486857600,1.0167793428
2017-02-13,1486944000,1.0292709433
2017-02-14,1487030400,1.0129564963
2017-02-15,1487116800,1.0127100211
2017-02-16,1487203200,1.0144481592
2017-02-17,1487289600,1.0504450477
2017-02-18,1487376000,1.0381924102
2017-02-19,1487462400,1.0313885589
2017-02-20,1487548800,1.0295262726
2017-02-21,1487635200,1.0239837927
2017-02-22,1487721600,1.0677819182
2017-02-23,1487808000,1.0491982454
2017-02-24,1487894400,1.0644767403
2017-02-25,1487980800,1.0423055964
2017-02-26,1488067200,1.0315541929
2017-02-27,1488153600,1.0366760576
2017-02-28,1488240000,1.0444530193
2017-03-01,1488326400,1.0643512044
2017-03-02,1488412800,1.0525898943
2017-03-03,1488499200,1.0464998494
2017-03-04,1488585600,1.0627990972
2017-03-05,1488672000,1.0584037406
2017-03-06,1488758400,1.0523481523
2017-03-07,1488844800,1.0570192842
2017-03-08,1488931200,1.0666108761
2017-03-09,1489017600,1.0095316939
2017-03-10,1489104000,1.0075840192
2017-03-11,1489190400,1.0379804725
2017-03-12,1489276800,1.0060113928
2017-03-13,1489363200,1.0122426718
2017-03-14,1489449600,1.0284990529
2017-03-15,1489536000,1.0611893158
2017-03-16,1489622400,1.0510692578
2017-03-17,1489708800,1.0351454839
2017-03-18,1489795200,1.0150972433
2017-03-19,1489881600,0.9918415924
2017-03-20,1489968000,0.9456606595
2017-03-21,1490054400,0.9758630572
2017-03-22,1490140800,1.0206306131
2017-03-23,1490227200,0.9942610011
2017-03-24,1490313600,0.9832020545
2017-03-25,1490400000,1.002473101
2017-03-26,1490486400,0.9519851544
2017-03-27,1490572800,0.9624323673
2017-03-28,1490659200,0.9829186527
2017-03-29,1490745600,1.0043349968
2017-03-30,1490832000,0.9934098245
2017-03-31,1490918400,1.010452264
2017-04-01,1491004800,0.9993105305
2017-04-02,1491091200,1.0072274185
2017-04-03,1491177600,1.0137780181
2017-04-04,1491264000,1.030686002
2017-04-05,1491350400,1.0391426808
2017-04-06,1491436800,1.0185159672
2017-04-07,1491523200,1.0257329526
2017-04-08,1491609600,1.0305035404
2017-04-09,1491696000,1.0537423852
2017-04-10,1491782400,1.033034806
2017-04-11,1491868800,1.0370317893
2017-04-12,1491955200,1.0315159681
2017-04-13,1492041600,1.0376813329
2017-04-14,1492128000,1.0196447428
2017-04-15,1492214400,1.0076997508
2017-04-16,1492300800,1.0112520907
2017-04-17,1492387200,1.0470861324
2017-04-18,1492473600,1.0208104363
2017-04-19,1492560000,1.0255884689
2017-04-20,1492646400,1.0284167172
