d,unixTs,vocdd
2017-01-01,1483228800,473.3814
2017-01-02,1483315200,1045.5551
2017-01-03,1483401600,764.6258
2017-01-04,1483488000,1477.7313
2017-01-05,1483574400,2946.0936
2017-01-06,1483660800,949.3244
2017-01-07,1483747200,465.1601
2017-01-08,1483833600,454.9076
2017-01-09,1483920000,552.4963
2017-01-10,1484006400,455.8159
2017-01-11,1484092800,895.9024
2017-01-12,1484179200,427.4053
2017-01-13,1484265600,485.0918
2017-01-14,1484352000,161.6216
2017-01-15,1484438400,288.3604
2017-01-16,1484524800,287.9474
2017-01-17,1484611200,456.2158
2017-01-18,1484697600,287.1920
2017-01-19,1484784000,220.8538
2017-01-20,1484870400,235.1168
2017-01-21,1484956800,273.3294
2017-01-22,1485043200,352.8434
2017-01-23,1485129600,314.6614
2017-01-24,1485216000,581.3412
2017-01-25,1485302400,500.0475
2017-01-26,1485388800,373.5441
2017-01-27,1485475200,326.5418
2017-01-28,1485561600,175.8008
2017-01-29,1485648000,1778.8356
2017-01-30,1485734400,222.5538
2017-01-31,1485820800,453.7526
2017-02-01,1485907200,358.8929
2017-02-02,1485993600,471.6419
2017-02-03,1486080000,1234.8239
2017-02-04,1486166400,403.2426
2017-02-05,1486252800,443.9591
2017-02-06,1486339200,784.8466
2017-02-07,1486425600,1162.6256
2017-02-08,1486512000,410.3528
2017-02-09,1486598400,870.7822
2017-02-10,1486684800,789.1279
2017-02-11,1486771200,171.7656
2017-02-12,1486857600,341.0746
2017-02-13,1486944000,543.7181
2017-02-14,1487030400,413.8808
2017-02-15,1487116800,211.2532
2017-02-16,1487203200,303.9272
2017-02-17,1487289600,793.6114
2017-02-18,1487376000,376.7282
2017-02-19,1487462400,426.8486
2017-02-20,1487548800,347.0898
2017-02-21,1487635200,737.3409
2017-02-22,1487721600,1086.0895
2017-02-23,1487808000,712.0216
2017-02-24,1487894400,2468.8623
2017-02-25,1487980800,386.8976
2017-02-26,1488067200,273.1336
2017-02-27,1488153600,541.5392
2017-02-28,1488240000,450.2570
2017-03-01,1488326400,646.5779
2017-03-02,1488412800,872.2757
2017-03-03,1488499200,2251.4354
2017-03-04,1488585600,517.5236
2017-03-05,1488672000,502.0909
2017-03-06,1488758400,868.5608
2017-03-07,1488844800,896.2581
2017-03-08,1488931200,933.9737
2017-03-09,1489017600,813.0172
2017-03-10,1489104000,1089.6465
2017-03-11,1489190400,567.3493
2017-03-12,1489276800,440.0930
2017-03-13,1489363200,1881.9517
2017-03-14,1489449600,552.6747
2017-03-15,1489536000,925.9526
2017-03-16,1489622400,1316.9673
2017-03-17,1489708800,1581.5373
2017-03-18,1489795200,1855.2911
2017-03-19,1489881600,1106.0779
2017-03-20,1489968000,695.4444
2017-03-21,1490054400,1022.5644
2017-03-22,1490140800,1181.4498
2017-03-23,1490227200,565.8972
2017-03-24,1490313600,5293.2404
2017-03-25,1490400000,1825.5183
2017-03-26,1490486400,1305.9634
2017-03-27,1490572800,801.3178
2017-03-28,1490659200,821.2016
2017-03-29,1490745600,607.9504
2017-03-30,1490832000,706.0911
2017-03-31,1490918400,950.8600
2017-04-01,1491004800,741.2586
2017-04-02,1491091200,737.7535
2017-04-03,1491177600,675.4844
2017-04-04,1491264000,396.9344
2017-04-05,1491350400,642.5369
2017-04-06,1491436800,578.8938
2017-04-07,1491523200,1501.7900
2017-04-08,1491609600,482.9035
2017-04-09,1491696000,375.0591
2017-04-10,1491782400,612.0897
