d,unixTs,investorCap
2020-01-01,1577836800,85086289941.8317
2020-01-02,1577923200,84809168990.13629
2020-01-03,1578009600,84839849306.4846
2020-01-04,1578096000,84819199885.8602
2020-01-05,1578182400,84816761600.47139
2020-01-06,1578268800,84881800866.9618
2020-01-07,1578355200,84956925082.0401
2020-01-08,1578441600,84999183397.8141
2020-01-09,1578528000,85041042427.7581
2020-01-10,1578614400,85109585309.7213
2020-01-11,1578700800,85114414697.4189
2020-01-12,1578787200,85139698717.7013
2020-01-13,1578873600,85166629103.1481
2020-01-14,1578960000,85471454998.789
2020-01-15,1579046400,85635385844.19609
2020-01-16,1579132800,85720323239.2552
2020-01-17,1579219200,85816072059.1985
2020-01-18,1579305600,85850909860.095
2020-01-19,1579392000,85839649707.9161
2020-01-20,1579478400,85829021377.95619
2020-01-21,1579564800,85859449631.0331
2020-01-22,1579651200,85868220271.9009
2020-01-23,1579737600,85861426327.55139
2020-01-24,1579824000,85901358178.6004
2020-01-25,1579910400,85911046068.7539
2020-01-26,1579996800,85937324557.2565
2020-01-27,1580083200,86012303510.0055
2020-01-28,1580169600,86141350144.5996
2020-01-29,1580256000,86330282552.661
2020-01-30,1580342400,86511072638.2546
2020-01-31,1580428800,86689600105.53479
2020-02-01,1580515200,86725192824.5856
2020-02-02,1580601600,86714288342.2958
2020-02-03,1580688000,86778791711.3011
2020-02-04,1580774400,86803620921.40059
2020-02-05,1580860800,86909329109.4347
2020-02-06,1580947200,87186400382.7042
2020-02-07,1581033600,87585968847.8308
2020-02-08,1581120000,87726135438.487
2020-02-09,1581206400,87836694658.0695
2020-02-10,1581292800,88101308342.6599
2020-02-11,1581379200,88308118655.2007
2020-02-12,1581465600,88439395024.343
2020-02-13,1581552000,88551062574.38829
2020-02-14,1581638400,88661280846.3414
2020-02-15,1581724800,88647752729.58359
2020-02-16,1581811200,88687343312.32379
2020-02-17,1581897600,88675452636.93869
2020-02-18,1581984000,88953106234.7058
2020-02-19,1582070400,88950513297.2335
2020-02-20,1582156800,88932282031.1021
2020-02-21,1582243200,88965553647.9113
2020-02-22,1582329600,88987006444.1866
2020-02-23,1582416000,89049851915.9458
2020-02-24,1582502400,89066278707.79
2020-02-25,1582588800,89177533517.1178
2020-02-26,1582675200,89071488673.4715
2020-02-27,1582761600,89002408410.66519
2020-02-28,1582848000,88980486589.5419
2020-02-29,1582934400,88944581690.6004
2020-03-01,1583020800,88909714787.2605
2020-03-02,1583107200,88965026305.0215
2020-03-03,1583193600,88989433696.6837
2020-03-04,1583280000,88723406024.15259
2020-03-05,1583366400,88747919760.0521
2020-03-06,1583452800,88786374357.7001
2020-03-07,1583539200,88769880439.3245
2020-03-08,1583625600,88687241001.82239
2020-03-09,1583712000,88497691820.8876
2020-03-10,1583798400,88380877100.2188
2020-03-11,1583884800,88110884073.498
2020-03-12,1583971200,85901016565.4169
2020-03-13,1584057600,85223682871.9953
2020-03-14,1584144000,84882526518.6363
2020-03-15,1584230400,84768520143.0204
2020-03-16,1584316800,84343209754.2135
2020-03-17,1584403200,84181815567.1538
2020-03-18,1584489600,84109145779.8131
2020-03-19,1584576000,84191290744.6915
2020-03-20,1584662400,84014841073.4555
2020-03-21,1584748800,84002837027.50699
2020-03-22,1584835200,83976593406.9287
