d,unixTs,mvocdd
2020-01-01,1577836800,2190.8916
2020-01-02,1577923200,2190.8916
2020-01-03,1578009600,2107.0760
2020-01-04,1578096000,2110.1107
2020-01-05,1578182400,2045.9992
2020-01-06,1578268800,2069.2384
2020-01-07,1578355200,2130.3152
2020-01-08,1578441600,2190.8916
2020-01-09,1578528000,2223.5153
2020-01-10,1578614400,2223.5153
2020-01-11,1578700800,2203.8112
2020-01-12,1578787200,2203.8112
2020-01-13,1578873600,2242.0894
2020-01-14,1578960000,2354.6026
2020-01-15,1579046400,2564.7548
2020-01-16,1579132800,2564.7548
2020-01-17,1579219200,2354.6026
2020-01-18,1579305600,2209.4658
2020-01-19,1579392000,2209.4658
2020-01-20,1579478400,2209.4658
2020-01-21,1579564800,2354.6026
2020-01-22,1579651200,2402.8456
2020-01-23,1579737600,2402.8456
2020-01-24,1579824000,2402.8456
2020-01-25,1579910400,2209.4658
2020-01-26,1579996800,2168.5935
2020-01-27,1580083200,2358.8574
2020-01-28,1580169600,2513.9590
2020-01-29,1580256000,2513.9590
2020-01-30,1580342400,2606.0601
2020-01-31,1580428800,2706.5627
2020-02-01,1580515200,2606.0601
2020-02-02,1580601600,2706.5627
2020-02-03,1580688000,2822.0099
2020-02-04,1580774400,2888.7004
2020-02-05,1580860800,2930.8144
2020-02-06,1580947200,3033.0351
2020-02-07,1581033600,3234.5074
2020-02-08,1581120000,3234.5074
2020-02-09,1581206400,3388.6374
2020-02-10,1581292800,3645.5544
2020-02-11,1581379200,4075.5024
2020-02-12,1581465600,4075.5024
2020-02-13,1581552000,4075.5024
2020-02-14,1581638400,3878.7976
2020-02-15,1581724800,3810.6722
2020-02-16,1581811200,3810.6722
2020-02-17,1581897600,3810.6722
2020-02-18,1581984000,3878.7976
2020-02-19,1582070400,4075.5024
2020-02-20,1582156800,4378.0219
2020-02-21,1582243200,4378.0219
2020-02-22,1582329600,4075.5024
2020-02-23,1582416000,3878.7976
2020-02-24,1582502400,3878.7976
2020-02-25,1582588800,4075.5024
2020-02-26,1582675200,4075.5024
2020-02-27,1582761600,4075.5024
2020-02-28,1582848000,3979.8318
2020-02-29,1582934400,3979.8318
2020-03-01,1583020800,3878.7976
2020-03-02,1583107200,3979.8318
2020-03-03,1583193600,3979.8318
2020-03-04,1583280000,3878.7976
2020-03-05,1583366400,3972.5553
2020-03-06,1583452800,3972.5553
2020-03-07,1583539200,3810.6722
2020-03-08,1583625600,3702.5637
2020-03-09,1583712000,3702.5637
2020-03-10,1583798400,3702.5637
2020-03-11,1583884800,3702.5637
2020-03-12,1583971200,3702.5637
2020-03-13,1584057600,3702.5637
2020-03-14,1584144000,3702.5637
2020-03-15,1584230400,3624.8095
2020-03-16,1584316800,3864.4469
2020-03-17,1584403200,4116.6667
2020-03-18,1584489600,4116.6667
2020-03-19,1584576000,3864.4469
2020-03-20,1584662400,3624.8095
2020-03-21,1584748800,3483.2579
2020-03-22,1584835200,3205.6819
2020-03-23,1584921600,3205.6819
2020-03-24,1585008000,3205.6819
2020-03-25,1585094400,3513.7525
2020-03-26,1585180800,3205.6819
2020-03-27,1585267200,3012.1559
2020-03-28,1585353600,3012.1559
2020-03-29,1585440000,2941.5838
2020-03-30,1585526400,2941.5838
2020-03-31,1585612800,2941.5838
2020-04-01,1585699200,2881.0125
2020-04-02,1585785600,2863.4735
2020-04-03,1585872000,2754.6692
2020-04-04,1585958400,2506.1201
2020-04-05,1586044800,2362.3608
2020-04-06,1586131200,2362.3608
2020-04-07,1586217600,2506.1201
2020-04-08,1586304000,2362.3608
2020-04-09,1586390400,2362.3608
2020-04-10,1586476800,2362.3608
2020-04-11,1586563200,2243.9832
2020-04-12,1586649600,2110.2514
2020-04-13,1586736000,2083.8363
2020-04-14,1586822400,2046.7938
2020-04-15,1586908800,1912.7089
2020-04-16,1586995200,1912.7089
2020-04-17,1587081600,2046.7938
2020-04-18,1587168000,1912.7089
2020-04-19,1587254400,1912.7089
2020-04-20,1587340800,2007.5285
2020-04-21,1587427200,2007.5285
2020-04-22,1587513600,2007.5285
2020-04-23,1587600000,2007.5285
2020-04-24,1587686400,2007.5285
2020-04-25,1587772800,1912.7089
2020-04-26,1587859200,1855.7490
2020-04-27,1587945600,1945.2125
2020-04-28,1588032000,1945.2125
2020-04-29,1588118400,1945.2125
2020-04-30,1588204800,2007.5285
2020-05-01,1588291200,2007.5285
2020-05-02,1588377600,1945.2125
2020-05-03,1588464000,2007.5285
2020-05-04,1588550400,2105.5411
2020-05-05,1588636800,2214.8846
2020-05-06,1588723200,2255.9943
2020-05-07,1588809600,2255.9943
2020-05-08,1588896000,2303.4061
2020-05-09,1588982400,2303.4061
2020-05-10,1589068800,2303.4061
2020-05-11,1589155200,2327.3121
2020-05-12,1589241600,2362.4158
2020-05-13,1589328000,2539.0147
2020-05-14,1589414400,2712.9816
2020-05-15,1589500800,2780.7108
2020-05-16,1589587200,2756.0356
2020-05-17,1589673600,2756.0356
2020-05-18,1589760000,2792.2101
2020-05-19,1589846400,2792.2101
2020-05-20,1589932800,2851.0625
2020-05-21,1590019200,2890.6972
2020-05-22,1590105600,2890.6972
2020-05-23,1590192000,2851.0625
2020-05-24,1590278400,2851.0625
2020-05-25,1590364800,2851.0625
2020-05-26,1590451200,2851.0625
2020-05-27,1590537600,2792.2101
2020-05-28,1590624000,2851.0625
2020-05-29,1590710400,2851.0625
2020-05-30,1590796800,2792.2101
2020-05-31,1590883200,2826.3873
2020-06-01,1590969600,2890.6972
2020-06-02,1591056000,3090.6676
2020-06-03,1591142400,3181.1853
2020-06-04,1591228800,3361.0136
2020-06-05,1591315200,3181.1853
2020-06-06,1591401600,3181.1853
2020-06-07,1591488000,2986.6722
2020-06-08,1591574400,2986.6722
2020-06-09,1591660800,3181.1853
2020-06-10,1591747200,3181.1853
2020-06-11,1591833600,3181.1853
2020-06-12,1591920000,3181.1853
2020-06-13,1592006400,2979.5456
2020-06-14,1592092800,2829.0431
2020-06-15,1592179200,2979.5456
2020-06-16,1592265600,3034.0764
2020-06-17,1592352000,2936.4321
2020-06-18,1592438400,3034.0764
2020-06-19,1592524800,2936.4321
2020-06-20,1592611200,2829.0431
2020-06-21,1592697600,2829.0431
2020-06-22,1592784000,2936.4321
2020-06-23,1592870400,3034.0764
2020-06-24,1592956800,3160.5348
2020-06-25,1593043200,3160.5348
2020-06-26,1593129600,3317.9062
2020-06-27,1593216000,3160.5348
2020-06-28,1593302400,3160.5348
2020-06-29,1593388800,3266.5316
2020-06-30,1593475200,3266.5316
2020-07-01,1593561600,3160.5348
2020-07-02,1593648000,3036.1301
2020-07-03,1593734400,2993.0166
2020-07-04,1593820800,2936.4321
2020-07-05,1593907200,2907.6635
2020-07-06,1593993600,2820.9395
2020-07-07,1594080000,2907.6635
2020-07-08,1594166400,2907.6635
2020-07-09,1594252800,2820.9395
2020-07-10,1594339200,2796.8499
2020-07-11,1594425600,2773.3103
2020-07-12,1594512000,2773.3103
2020-07-13,1594598400,2820.9395
2020-07-14,1594684800,2907.6635
2020-07-15,1594771200,2907.6635
2020-07-16,1594857600,2820.9395
2020-07-17,1594944000,2820.9395
2020-07-18,1595030400,2773.3103
2020-07-19,1595116800,2773.3103
2020-07-20,1595203200,2773.3103
2020-07-21,1595289600,2820.9395
2020-07-22,1595376000,2820.9395
2020-07-23,1595462400,2820.9395
2020-07-24,1595548800,2820.9395
2020-07-25,1595635200,2820.9395
2020-07-26,1595721600,2820.9395
2020-07-27,1595808000,2906.2926
2020-07-28,1595894400,2906.2926
2020-07-29,1595980800,2906.2926
2020-07-30,1596067200,2906.2926
2020-07-31,1596153600,2973.1411
2020-08-01,1596240000,3151.4468
2020-08-02,1596326400,3217.2378
2020-08-03,1596412800,3755.8777
2020-08-04,1596499200,4310.0634
2020-08-05,1596585600,4380.3521
2020-08-06,1596672000,4506.4974
2020-08-07,1596758400,4506.4974
2020-08-08,1596844800,4550.6703
2020-08-09,1596931200,4773.0617
2020-08-10,1597017600,4773.0617
2020-08-11,1597104000,5150.1347
2020-08-12,1597190400,5459.2266
2020-08-13,1597276800,5150.1347
2020-08-14,1597363200,5150.1347
2020-08-15,1597449600,5150.1347
2020-08-16,1597536000,5150.1347
2020-08-17,1597622400,5459.2266
2020-08-18,1597708800,5459.2266
2020-08-19,1597795200,5459.2266
2020-08-20,1597881600,5459.2266
2020-08-21,1597968000,5459.2266
2020-08-22,1598054400,5459.2266
2020-08-23,1598140800,5459.2266
2020-08-24,1598227200,5459.2266
2020-08-25,1598313600,5717.9941
2020-08-26,1598400000,5717.9941
2020-08-27,1598486400,5459.2266
2020-08-28,1598572800,5459.2266
2020-08-29,1598659200,5330.9298
2020-08-30,1598745600,5105.9074
2020-08-31,1598832000,5330.9298
2020-09-01,1598918400,5414.9993
2020-09-02,1599004800,5414.9993
2020-09-03,1599091200,5589.6973
2020-09-04,1599177600,5589.6973
2020-09-05,1599264000,5105.9074
2020-09-06,1599350400,4814.0273
2020-09-07,1599436800,4814.0273
2020-09-08,1599523200,4537.1023
2020-09-09,1599609600,4607.7479
2020-09-10,1599696000,4549.4615
2020-09-11,1599782400,4549.4615
2020-09-12,1599868800,4549.4615
2020-09-13,1599955200,4316.7106
2020-09-14,1600041600,4316.7106
2020-09-15,1600128000,4388.6391
2020-09-16,1600214400,4388.6391
2020-09-17,1600300800,4549.4615
2020-09-18,1600387200,4549.4615
2020-09-19,1600473600,4549.4615
2020-09-20,1600560000,4549.4615
2020-09-21,1600646400,4549.4615
2020-09-22,1600732800,4711.6347
2020-09-23,1600819200,4711.6347
2020-09-24,1600905600,4711.6347
2020-09-25,1600992000,4711.6347
2020-09-26,1601078400,4711.6347
2020-09-27,1601164800,4549.4615
2020-09-28,1601251200,4549.4615
2020-09-29,1601337600,4711.6347
2020-09-30,1601424000,4711.6347
2020-10-01,1601510400,4549.4615
2020-10-02,1601596800,4549.4615
2020-10-03,1601683200,4388.6391
2020-10-04,1601769600,4066.3060
2020-10-05,1601856000,4058.4480
2020-10-06,1601942400,4058.4480
2020-10-07,1602028800,4388.6391
2020-10-08,1602115200,4549.4615
2020-10-09,1602201600,4711.6347
2020-10-10,1602288000,4550.8123
2020-10-11,1602374400,4058.4480
2020-10-12,1602460800,4806.1102
2020-10-13,1602547200,4806.1102
2020-10-14,1602633600,5367.7930
2020-10-15,1602720000,5418.8897
2020-10-16,1602806400,5367.7930
2020-10-17,1602892800,4599.8333
2020-10-18,1602979200,3834.9342
2020-10-19,1603065600,3834.9342
2020-10-20,1603152000,3834.9342
2020-10-21,1603238400,4582.5964
2020-10-22,1603324800,4582.5964
2020-10-23,1603411200,5398.5922
2020-10-24,1603497600,5398.5922
2020-10-25,1603584000,5287.2511
2020-10-26,1603670400,5287.2511
2020-10-27,1603756800,5398.5922
2020-10-28,1603843200,5718.0016
2020-10-29,1603929600,5718.0016
2020-10-30,1604016000,5622.1547
2020-10-31,1604102400,5890.4674
2020-11-01,1604188800,6010.3345
