d,unixTs,realizedLossLth
2020-01-01,1577836800,-1502.06384820
2020-01-02,1577923200,-1404.25881330
2020-01-03,1578009600,-1349.43586130
2020-01-04,1578096000,-1309.67197070
2020-01-05,1578182400,-1254.19770200
2020-01-06,1578268800,-1307.49939620
2020-01-07,1578355200,-1538.71362880
2020-01-08,1578441600,-1504.27954420
2020-01-09,1578528000,-1424.13490440
2020-01-10,1578614400,-1448.86767500
2020-01-11,1578700800,-1336.78635110
2020-01-12,1578787200,-1307.96067010
2020-01-13,1578873600,-1204.73435650
2020-01-14,1578960000,-3348.66536180
2020-01-15,1579046400,-3264.06001660
2020-01-16,1579132800,-3054.99673040
2020-01-17,1579219200,-2757.84636670
2020-01-18,1579305600,-2517.01557810
2020-01-19,1579392000,-2247.08443810
2020-01-20,1579478400,-2069.33285870
2020-01-21,1579564800,-1933.30636600
2020-01-22,1579651200,-1958.70631670
2020-01-23,1579737600,-1872.96600370
2020-01-24,1579824000,-1702.67689730
2020-01-25,1579910400,-1522.98522120
2020-01-26,1579996800,-1380.84747150
2020-01-27,1580083200,-1321.63065770
2020-01-28,1580169600,-1270.53817690
2020-01-29,1580256000,-1429.62861280
2020-01-30,1580342400,-1399.18641830
2020-01-31,1580428800,-1332.06563900
2020-02-01,1580515200,-1285.94243240
2020-02-02,1580601600,-1655.36441370
2020-02-03,1580688000,-2873.38594090
2020-02-04,1580774400,-2675.42665840
2020-02-05,1580860800,-2442.59811860
2020-02-06,1580947200,-2666.76777210
2020-02-07,1581033600,-2403.35375680
2020-02-08,1581120000,-2164.36963260
2020-02-09,1581206400,-1995.53380720
2020-02-10,1581292800,-1779.91365020
2020-02-11,1581379200,-1644.20905590
2020-02-12,1581465600,-1524.05867470
2020-02-13,1581552000,-1409.43734180
2020-02-14,1581638400,-1312.01108850
2020-02-15,1581724800,-1291.37874660
2020-02-16,1581811200,-1151.18401910
2020-02-17,1581897600,-1039.19120230
2020-02-18,1581984000,-986.31859300
2020-02-19,1582070400,-921.71823230
2020-02-20,1582156800,-1258.44904830
2020-02-21,1582243200,-1290.91523530
2020-02-22,1582329600,-1149.32746740
2020-02-23,1582416000,-1039.75646840
2020-02-24,1582502400,-953.89494480
2020-02-25,1582588800,-945.39203010
2020-02-26,1582675200,-911.24971590
2020-02-27,1582761600,-883.23715450
2020-02-28,1582848000,-888.10366240
2020-02-29,1582934400,-980.48343220
2020-03-01,1583020800,-914.84915170
2020-03-02,1583107200,-1028.60407710
2020-03-03,1583193600,-1160.40982830
2020-03-04,1583280000,-1171.89535530
2020-03-05,1583366400,-1482.82306500
2020-03-06,1583452800,-1367.00220310
2020-03-07,1583539200,-1247.90408240
2020-03-08,1583625600,-1152.80916290
2020-03-09,1583712000,-1651.51883860
2020-03-10,1583798400,-1781.46340160
2020-03-11,1583884800,-2381.17898560
2020-03-12,1583971200,-5122.69398220
2020-03-13,1584057600,-8054.60433160
2020-03-14,1584144000,-8753.77951030
2020-03-15,1584230400,-8403.18613640
2020-03-16,1584316800,-9039.84897240
2020-03-17,1584403200,-10158.07340150
2020-03-18,1584489600,-9388.11936480
2020-03-19,1584576000,-9375.30785250
2020-03-20,1584662400,-8740.17804520
2020-03-21,1584748800,-7868.24610570
2020-03-22,1584835200,-7114.02610490
2020-03-23,1584921600,-7054.73007040
2020-03-24,1585008000,-6722.81123830
2020-03-25,1585094400,-7204.35837030
2020-03-26,1585180800,-6519.49630300
2020-03-27,1585267200,-5878.35860140
2020-03-28,1585353600,-5384.12049870
2020-03-29,1585440000,-5575.34024180
2020-03-30,1585526400,-5528.41677440
2020-03-31,1585612800,-5081.83876100
2020-04-01,1585699200,-4626.40790530
2020-04-02,1585785600,-4527.04337280
2020-04-03,1585872000,-4160.24971810
2020-04-04,1585958400,-3717.33182860
2020-04-05,1586044800,-3411.66498100
2020-04-06,1586131200,-3361.51987180
2020-04-07,1586217600,-3718.00352780
2020-04-08,1586304000,-3402.13280400
2020-04-09,1586390400,-3364.30805410
2020-04-10,1586476800,-3314.86359640
2020-04-11,1586563200,-3038.02695410
2020-04-12,1586649600,-2710.13179920
2020-04-13,1586736000,-2525.53663810
2020-04-14,1586822400,-2353.53216750
2020-04-15,1586908800,-2222.51373990
2020-04-16,1586995200,-2236.78188820
2020-04-17,1587081600,-2222.15355520
2020-04-18,1587168000,-2054.88852190
2020-04-19,1587254400,-2017.11269980
2020-04-20,1587340800,-2134.51531860
2020-04-21,1587427200,-2172.50358080
2020-04-22,1587513600,-2302.05917280
2020-04-23,1587600000,-2468.15677210
2020-04-24,1587686400,-2366.64833470
2020-04-25,1587772800,-2144.48459190
2020-04-26,1587859200,-1923.18194240
2020-04-27,1587945600,-1791.47291290
2020-04-28,1588032000,-1656.44943340
2020-04-29,1588118400,-2007.31866350
2020-04-30,1588204800,-2007.54149820
2020-05-01,1588291200,-1864.49970750
2020-05-02,1588377600,-1682.63062810
2020-05-03,1588464000,-1565.24467190
2020-05-04,1588550400,-1481.20291430
2020-05-05,1588636800,-1377.45929480
2020-05-06,1588723200,-1604.87703880
2020-05-07,1588809600,-1596.33461830
2020-05-08,1588896000,-1660.14240430
2020-05-09,1588982400,-1547.22743390
2020-05-10,1589068800,-1403.01870760
2020-05-11,1589155200,-1354.99041510
2020-05-12,1589241600,-1236.70422390
2020-05-13,1589328000,-1142.68433300
2020-05-14,1589414400,-1137.30774830
2020-05-15,1589500800,-1310.32596140
2020-05-16,1589587200,-1168.11947450
2020-05-17,1589673600,-1045.18949360
2020-05-18,1589760000,-953.51208040
2020-05-19,1589846400,-858.43970790
2020-05-20,1589932800,-810.49638640
2020-05-21,1590019200,-871.82141020
2020-05-22,1590105600,-802.33494720
2020-05-23,1590192000,-763.54639130
2020-05-24,1590278400,-719.69043890
2020-05-25,1590364800,-663.86170690
2020-05-26,1590451200,-635.65085070
2020-05-27,1590537600,-608.76707010
2020-05-28,1590624000,-725.91877550
2020-05-29,1590710400,-1074.51546520
2020-05-30,1590796800,-1034.49472400
2020-05-31,1590883200,-1182.14326810
2020-06-01,1590969600,-1544.43714460
2020-06-02,1591056000,-1452.41945390
2020-06-03,1591142400,-1294.80189080
2020-06-04,1591228800,-1228.90115120
2020-06-05,1591315200,-1125.64019650
2020-06-06,1591401600,-1013.92113930
2020-06-07,1591488000,-909.51951000
2020-06-08,1591574400,-823.27583130
2020-06-09,1591660800,-763.26209880
2020-06-10,1591747200,-740.26016220
2020-06-11,1591833600,-683.78520600
2020-06-12,1591920000,-661.80426940
2020-06-13,1592006400,-598.27689920
2020-06-14,1592092800,-536.60560110
2020-06-15,1592179200,-521.25193200
2020-06-16,1592265600,-501.63671860
2020-06-17,1592352000,-466.17018480
2020-06-18,1592438400,-453.11594090
2020-06-19,1592524800,-429.02052390
2020-06-20,1592611200,-400.27041480
2020-06-21,1592697600,-386.84433000
2020-06-22,1592784000,-396.72765940
2020-06-23,1592870400,-377.88766590
2020-06-24,1592956800,-485.47758700
2020-06-25,1593043200,-462.08369080
2020-06-26,1593129600,-422.89898650
2020-06-27,1593216000,-427.85932990
2020-06-28,1593302400,-450.89973060
2020-06-29,1593388800,-508.26383040
2020-06-30,1593475200,-501.18423540
2020-07-01,1593561600,-484.88305130
2020-07-02,1593648000,-466.49618410
2020-07-03,1593734400,-428.26431480
2020-07-04,1593820800,-415.51683720
2020-07-05,1593907200,-386.38293650
2020-07-06,1593993600,-382.33671630
2020-07-07,1594080000,-375.47080690
2020-07-08,1594166400,-365.01825910
2020-07-09,1594252800,-345.03063800
2020-07-10,1594339200,-336.74476820
2020-07-11,1594425600,-319.88263700
2020-07-12,1594512000,-295.87440540
2020-07-13,1594598400,-459.80102860
2020-07-14,1594684800,-442.66536250
2020-07-15,1594771200,-468.59829700
2020-07-16,1594857600,-446.89642780
2020-07-17,1594944000,-506.63649010
2020-07-18,1595030400,-478.69626030
2020-07-19,1595116800,-446.98033600
2020-07-20,1595203200,-417.07757500
2020-07-21,1595289600,-600.27422870
2020-07-22,1595376000,-607.59843090
2020-07-23,1595462400,-597.80977540
2020-07-24,1595548800,-560.54781830
2020-07-25,1595635200,-523.05924340
2020-07-26,1595721600,-504.51774860
2020-07-27,1595808000,-556.25679140
2020-07-28,1595894400,-644.01786500
2020-07-29,1595980800,-576.05937070
2020-07-30,1596067200,-516.38506340
2020-07-31,1596153600,-462.92536520
2020-08-01,1596240000,-428.14431230
2020-08-02,1596326400,-390.08005200
2020-08-03,1596412800,-362.17021010
2020-08-04,1596499200,-354.79105470
2020-08-05,1596585600,-338.41005660
2020-08-06,1596672000,-330.15386600
2020-08-07,1596758400,-293.03371420
2020-08-08,1596844800,-262.59654210
2020-08-09,1596931200,-274.79318540
2020-08-10,1597017600,-265.49759850
2020-08-11,1597104000,-244.44407050
2020-08-12,1597190400,-362.37461190
2020-08-13,1597276800,-341.78840460
2020-08-14,1597363200,-309.48816190
2020-08-15,1597449600,-274.52522930
2020-08-16,1597536000,-248.58484820
2020-08-17,1597622400,-224.22789880
2020-08-18,1597708800,-204.73781990
2020-08-19,1597795200,-184.98855030
2020-08-20,1597881600,-166.94298090
2020-08-21,1597968000,-171.78501190
2020-08-22,1598054400,-171.01272090
2020-08-23,1598140800,-162.59780300
2020-08-24,1598227200,-148.78319560
2020-08-25,1598313600,-153.65688310
2020-08-26,1598400000,-154.08539320
2020-08-27,1598486400,-141.71801050
2020-08-28,1598572800,-128.97369020
2020-08-29,1598659200,-118.04526400
2020-08-30,1598745600,-112.53579590
2020-08-31,1598832000,-109.64069200
2020-09-01,1598918400,-117.74246660
2020-09-02,1599004800,-110.40290970
2020-09-03,1599091200,-112.43639540
2020-09-04,1599177600,-112.05524560
2020-09-05,1599264000,-179.12201230
2020-09-06,1599350400,-232.10336570
2020-09-07,1599436800,-217.28207790
2020-09-08,1599523200,-206.76995260
2020-09-09,1599609600,-267.83035300
2020-09-10,1599696000,-386.37927880
2020-09-11,1599782400,-348.32293690
2020-09-12,1599868800,-375.64787990
2020-09-13,1599955200,-338.18636570
2020-09-14,1600041600,-305.78712590
2020-09-15,1600128000,-280.48209090
2020-09-16,1600214400,-254.81448510
2020-09-17,1600300800,-277.00848240
2020-09-18,1600387200,-304.66654390
2020-09-19,1600473600,-305.49086320
2020-09-20,1600560000,-315.71944290
2020-09-21,1600646400,-280.10581650
2020-09-22,1600732800,-253.93782950
2020-09-23,1600819200,-232.44209320
2020-09-24,1600905600,-216.30653940
2020-09-25,1600992000,-199.07831180
2020-09-26,1601078400,-217.02858820
2020-09-27,1601164800,-245.07508420
2020-09-28,1601251200,-225.73824580
2020-09-29,1601337600,-219.86502930
2020-09-30,1601424000,-211.82500940
2020-10-01,1601510400,-235.65198190
2020-10-02,1601596800,-219.21382800
2020-10-03,1601683200,-200.18790420
2020-10-04,1601769600,-193.73130400
2020-10-05,1601856000,-194.23418040
2020-10-06,1601942400,-190.00339070
2020-10-07,1602028800,-225.14183110
2020-10-08,1602115200,-231.32759350
2020-10-09,1602201600,-232.80239140
2020-10-10,1602288000,-209.88352890
2020-10-11,1602374400,-189.81937280
2020-10-12,1602460800,-225.70193660
2020-10-13,1602547200,-205.12298000
2020-10-14,1602633600,-186.10177690
2020-10-15,1602720000,-167.85192150
2020-10-16,1602806400,-151.49378040
2020-10-17,1602892800,-134.05208890
2020-10-18,1602979200,-119.43300310
2020-10-19,1603065600,-108.93833560
2020-10-20,1603152000,-103.72712860
2020-10-21,1603238400,-111.72177640
2020-10-22,1603324800,-111.35607890
2020-10-23,1603411200,-102.74621990
2020-10-24,1603497600,-95.76224850
2020-10-25,1603584000,-88.94606190
2020-10-26,1603670400,-81.57361470
2020-10-27,1603756800,-83.19442440
2020-10-28,1603843200,-76.38683580
2020-10-29,1603929600,-72.04287610
2020-10-30,1604016000,-66.00857130
2020-10-31,1604102400,-66.04639180
2020-11-01,1604188800,-59.09931570
2020-11-02,1604275200,-55.29011410
2020-11-03,1604361600,-53.80483680
2020-11-04,1604448000,-56.18039960
2020-11-05,1604534400,-56.73497960
2020-11-06,1604620800,-57.86066620
2020-11-07,1604707200,-51.46037660
2020-11-08,1604793600,-47.27540170
2020-11-09,1604880000,-43.17436550
2020-11-10,1604966400,-39.37543350
2020-11-11,1605052800,-37.98020000
2020-11-12,1605139200,-36.79239440
2020-11-13,1605225600,-34.03857430
2020-11-14,1605312000,-30.30321230
2020-11-15,1605398400,-27.49949400
2020-11-16,1605484800,-26.09049130
2020-11-17,1605571200,-29.68988320
2020-11-18,1605657600,-27.02079510
2020-11-19,1605744000,-23.91074270
2020-11-20,1605830400,-21.67753790
2020-11-21,1605916800,-19.01329790
2020-11-22,1606003200,-16.73861230
2020-11-23,1606089600,-15.09228350
2020-11-24,1606176000,-13.73493700
2020-11-25,1606262400,-12.05481800
2020-11-26,1606348800,-10.56334550
2020-11-27,1606435200,-9.73443850
2020-11-28,1606521600,-8.72323850
2020-11-29,1606608000,-8.37432070
2020-11-30,1606694400,-7.47364390
2020-12-01,1606780800,-6.64274590
2020-12-02,1606867200,-5.82042730
2020-12-03,1606953600,-5.10303210
2020-12-04,1607040000,-4.48161570
2020-12-05,1607126400,-3.92305810
2020-12-06,1607212800,-3.44043510
2020-12-07,1607299200,-3.01791780
2020-12-08,1607385600,-2.64353400
2020-12-09,1607472000,-2.31898690
2020-12-10,1607558400,-2.21870180
2020-12-11,1607644800,-2.00115090
2020-12-12,1607731200,-2.54716070
2020-12-13,1607817600,-2.39687220
2020-12-14,1607904000,-2.14717280
2020-12-15,1607990400,-1.88929890
2020-12-16,1608076800,-1.65577900
2020-12-17,1608163200,-1.44880660
2020-12-18,1608249600,-1.26770580
2020-12-19,1608336000,-1.10924260
2020-12-20,1608422400,-0.97058730
2020-12-21,1608508800,-0.84926390
2020-12-22,1608595200,-0.74310590
2020-12-23,1608681600,-0.65021760
2020-12-24,1608768000,-0.56894040
2020-12-25,1608854400,-0.49782290
2020-12-26,1608940800,-0.43559500
2020-12-27,1609027200,-0.38114560
2020-12-28,1609113600,-0.33350240
2020-12-29,1609200000,-0.29181460
2020-12-30,1609286400,-0.25533780
2020-12-31,1609372800,-0.22342060
2021-01-01,1609459200,-0.19549300
2021-01-02,1609545600,-0.17105640
2021-01-03,1609632000,-0.14967430
2021-01-04,1609718400,-0.13096500
2021-01-05,1609804800,-0.11459440
2021-01-06,1609891200,-0.10027010
2021-01-07,1609977600,-0.08773630
2021-01-08,1610064000,-0.07676930
2021-01-09,1610150400,-0.06717310
2021-01-10,1610236800,-0.05877650
2021-01-11,1610323200,-0.05142940
2021-01-12,1610409600,-0.04500080
2021-01-13,1610496000,-0.03937570
2021-01-14,1610582400,-0.03445370
2021-01-15,1610668800,-0.03014700
2021-01-16,1610755200,-0.02637860
2021-01-17,1610841600,-0.02308130
2021-01-18,1610928000,-0.02019610
2021-01-19,1611014400,-0.01767160
2021-01-20,1611100800,-0.01546270
2021-01-21,1611187200,-0.01352980
2021-01-22,1611273600,-0.01183860
2021-01-23,1611360000,-0.01035880
2021-01-24,1611446400,-0.00906390
2021-01-25,1611532800,-0.00793090
2021-01-26,1611619200,-0.00693960
2021-01-27,1611705600,-0.00607210
2021-01-28,1611792000,-0.00531310
2021-01-29,1611878400,-0.00464900
2021-01-30,1611964800,-0.00406780
2021-01-31,1612051200,-0.00355940
2021-02-01,1612137600,-0.00311440
2021-02-02,1612224000,-0.00272510
2021-02-03,1612310400,-0.00238450
2021-02-04,1612396800,-0.00208640
2021-02-05,1612483200,-0.00182560
2021-02-06,1612569600,-0.00159740
2021-02-07,1612656000,-0.00139770
2021-02-08,1612742400,-0.00122300
2021-02-09,1612828800,-0.00107020
2021-02-10,1612915200,-0.00093640
2021-02-11,1613001600,-0.00081930
2021-02-12,1613088000,-0.00071690
2021-02-13,1613174400,-0.00062730
2021-02-14,1613260800,-0.00054890
2021-02-15,1613347200,-0.00048030
2021-02-16,1613433600,-0.00042020
2021-02-17,1613520000,-0.00036770
2021-02-18,1613606400,-0.00032170
2021-02-19,1613692800,-0.00028150
2021-02-20,1613779200,-0.00024630
2021-02-21,1613865600,-0.00021550
2021-02-22,1613952000,-0.00018860
2021-02-23,1614038400,-0.00016500
2021-02-24,1614124800,-0.00014440
2021-02-25,1614211200,-0.00012630
2021-02-26,1614297600,-0.00011060
2021-02-27,1614384000,-0.00009670
2021-02-28,1614470400,-0.00008460
2021-03-01,1614556800,-0.00007410
2021-03-02,1614643200,-0.00006480
2021-03-03,1614729600,-0.00005670
2021-03-04,1614816000,-0.00004960
2021-03-05,1614902400,-0.00004340
2021-03-06,1614988800,-0.00003800
2021-03-07,1615075200,-0.00003320
2021-03-08,1615161600,-0.00002910
2021-03-09,1615248000,-0.00002540
2021-03-10,1615334400,-0.00002230
2021-03-11,1615420800,-0.00001950
2021-03-12,1615507200,-0.00001700
2021-03-13,1615593600,-0.00001490
2021-03-14,1615680000,-0.00001310
2021-03-15,1615766400,-0.00001140
2021-03-16,1615852800,-0.00001000
2021-03-17,1615939200,-0.00000870
2021-03-18,1616025600,-0.00000770
2021-03-19,1616112000,-0.00000670
2021-03-20,1616198400,-0.00000590
2021-03-21,1616284800,-0.00000510
2021-03-22,1616371200,-0.00000450
2021-03-23,1616457600,-0.00000390
2021-03-24,1616544000,-0.00000340
2021-03-25,1616630400,-0.00000300
2021-03-26,1616716800,-0.00000260
2021-03-27,1616803200,-0.00000230
2021-03-28,1616889600,-0.00000200
2021-03-29,1616976000,-0.00000180
2021-03-30,1617062400,-0.00000150
2021-03-31,1617148800,-0.00000130
2021-04-01,1617235200,-0.00000120
2021-04-02,1617321600,-0.00000100
2021-04-03,1617408000,-0.00000090
2021-04-04,1617494400,-0.00000080
2021-04-05,1617580800,-0.00000070
2021-04-06,1617667200,-0.00000060
2021-04-07,1617753600,-0.00000050
2021-04-08,1617840000,-0.00000050
2021-04-09,1617926400,-0.00000040
2021-04-10,1618012800,-0.00000040
2021-04-11,1618099200,-0.00000030
2021-04-12,1618185600,-0.00000030
2021-04-13,1618272000,-0.00000020
2021-04-14,1618358400,-0.00000020
2021-04-15,1618444800,-0.00000020
2021-04-16,1618531200,-0.00000020
2021-04-17,1618617600,-0.00000010
2021-04-18,1618704000,-0.00000010
2021-04-19,1618790400,-0.00000010
2021-04-20,1618876800,-0.00000010
2021-04-21,1618963200,-0.00000010
2021-04-22,1619049600,-0.00000010
2021-04-23,1619136000,-0.00000010
2021-04-24,1619222400,-0.00000010
2021-04-25,1619308800,0.00000000
2021-04-26,1619395200,0.00000000
2021-04-27,1619481600,0.00000000
2021-04-28,1619568000,0.00000000
2021-04-29,1619654400,0.00000000
2021-04-30,1619740800,0.00000000
2021-05-01,1619827200,0.00000000
2021-05-02,1619913600,0.00000000
2021-05-03,1620000000,0.00000000
2021-05-04,1620086400,0.00000000
2021-05-05,1620172800,0.00000000
2021-05-06,1620259200,0.00000000
2021-05-07,1620345600,0.00000000
2021-05-08,1620432000,0.00000000
2021-05-09,1620518400,0.00000000
2021-05-10,1620604800,0.00000000
2021-05-11,1620691200,0.00000000
2021-05-12,1620777600,0.00000000
2021-05-13,1620864000,0.00000000
2021-05-14,1620950400,0.00000000
2021-05-15,1621036800,0.00000000
2021-05-16,1621123200,0.00000000
2021-05-17,1621209600,0.00000000
2021-05-18,1621296000,0.00000000
2021-05-19,1621382400,0.00000000
2021-05-20,1621468800,0.00000000
2021-05-21,1621555200,0.00000000
2021-05-22,1621641600,0.00000000
2021-05-23,1621728000,0.00000000
2021-05-24,1621814400,0.00000000
2021-05-25,1621900800,0.00000000
2021-05-26,1621987200,0.00000000
2021-05-27,1622073600,0.00000000
2021-05-28,1622160000,0.00000000
2021-05-29,1622246400,0.00000000
2021-05-30,1622332800,0.00000000
2021-05-31,1622419200,0.00000000
2021-06-01,1622505600,0.00000000
2021-06-02,1622592000,0.00000000
2021-06-03,1622678400,0.00000000
2021-06-04,1622764800,0.00000000
2021-06-05,1622851200,0.00000000
2021-06-06,1622937600,0.00000000
2021-06-07,1623024000,0.00000000
2021-06-08,1623110400,0.00000000
2021-06-09,1623196800,-0.08047430
2021-06-10,1623283200,-0.07041500
2021-06-11,1623369600,-0.06162250
2021-06-12,1623456000,-0.09421200
2021-06-13,1623542400,-0.22517690
2021-06-14,1623628800,-7.00293170
2021-06-15,1623715200,-6.94439410
2021-06-16,1623801600,-6.11822290
2021-06-17,1623888000,-5.44571630
2021-06-18,1623974400,-5.28760610
2021-06-19,1624060800,-4.88974770
2021-06-20,1624147200,-5.04322550
2021-06-21,1624233600,-8.32443480
2021-06-22,1624320000,-22.75978420
2021-06-23,1624406400,-64.91531880
2021-06-24,1624492800,-106.97613370
2021-06-25,1624579200,-96.49907970
2021-06-26,1624665600,-88.54162550
2021-06-27,1624752000,-80.11524430
2021-06-28,1624838400,-83.46796270
2021-06-29,1624924800,-101.91887990
2021-06-30,1625011200,-93.92182360
2021-07-01,1625097600,-83.84277830
2021-07-02,1625184000,-95.00725030
2021-07-03,1625270400,-85.48982540
2021-07-04,1625356800,-76.03980290
2021-07-05,1625443200,-67.63458430
2021-07-06,1625529600,-63.52766350
2021-07-07,1625616000,-80.45319240
2021-07-08,1625702400,-72.64211140
2021-07-09,1625788800,-71.50518900
2021-07-10,1625875200,-64.85465440
2021-07-11,1625961600,-58.66596260
2021-07-12,1626048000,-56.57724530
2021-07-13,1626134400,-61.01522370
2021-07-14,1626220800,-87.23864710
2021-07-15,1626307200,-88.20661600
2021-07-16,1626393600,-88.02896040
2021-07-17,1626480000,-82.20634450
2021-07-18,1626566400,-80.41000560
2021-07-19,1626652800,-87.46277320
2021-07-20,1626739200,-104.06163300
2021-07-21,1626825600,-166.29976420
2021-07-22,1626912000,-160.04677660
2021-07-23,1626998400,-158.92336180
2021-07-24,1627084800,-144.42633790
2021-07-25,1627171200,-139.98605390
2021-07-26,1627257600,-165.56266220
2021-07-27,1627344000,-173.47474490
2021-07-28,1627430400,-161.87146160
2021-07-29,1627516800,-182.82136600
