d,unixTs,realizedProfitSth
2020-01-01,1577836800,1461.49338790
2020-01-02,1577923200,1341.29608140
2020-01-03,1578009600,1291.90409540
2020-01-04,1578096000,1176.66207710
2020-01-05,1578182400,1094.63970350
2020-01-06,1578268800,1309.91048850
2020-01-07,1578355200,1397.36551100
2020-01-08,1578441600,1973.51873220
2020-01-09,1578528000,3968.76659770
2020-01-10,1578614400,4088.75846380
2020-01-11,1578700800,3736.46869630
2020-01-12,1578787200,3628.17394320
2020-01-13,1578873600,3606.79878730
2020-01-14,1578960000,5597.02014900
2020-01-15,1579046400,6532.18308620
2020-01-16,1579132800,6901.42029080
2020-01-17,1579219200,6560.50377900
2020-01-18,1579305600,6175.12848740
2020-01-19,1579392000,6020.75339750
2020-01-20,1579478400,6179.39179970
2020-01-21,1579564800,5696.44009200
2020-01-22,1579651200,5447.16296690
2020-01-23,1579737600,5163.60109570
2020-01-24,1579824000,4774.37512750
2020-01-25,1579910400,4344.29312190
2020-01-26,1579996800,3912.97774270
2020-01-27,1580083200,3635.85420960
2020-01-28,1580169600,3726.94839540
2020-01-29,1580256000,3947.39252360
2020-01-30,1580342400,5318.90707060
2020-01-31,1580428800,7028.31282350
2020-02-01,1580515200,6578.92619140
2020-02-02,1580601600,6117.60683060
2020-02-03,1580688000,6077.41467130
2020-02-04,1580774400,6228.38827100
2020-02-05,1580860800,5869.83140680
2020-02-06,1580947200,7456.99251680
2020-02-07,1581033600,7393.44001630
2020-02-08,1581120000,7685.11728780
2020-02-09,1581206400,7243.35025080
2020-02-10,1581292800,8168.43369970
2020-02-11,1581379200,8467.65552090
2020-02-12,1581465600,8293.02393060
2020-02-13,1581552000,8400.12823500
2020-02-14,1581638400,8260.60879590
2020-02-15,1581724800,7806.87781160
2020-02-16,1581811200,7629.23939340
2020-02-17,1581897600,7323.21034910
2020-02-18,1581984000,7679.90439720
2020-02-19,1582070400,7214.00341240
2020-02-20,1582156800,7519.26231840
2020-02-21,1582243200,7003.23648030
2020-02-22,1582329600,6369.08055330
2020-02-23,1582416000,5937.29348190
2020-02-24,1582502400,5853.24166680
2020-02-25,1582588800,7606.24242210
2020-02-26,1582675200,7056.87819970
2020-02-27,1582761600,6617.16618420
2020-02-28,1582848000,6007.07022820
2020-02-29,1582934400,5645.49580380
2020-03-01,1583020800,5192.71682060
2020-03-02,1583107200,4642.79914950
2020-03-03,1583193600,4222.89891190
2020-03-04,1583280000,3989.56662790
2020-03-05,1583366400,3709.15608680
2020-03-06,1583452800,3568.25722460
2020-03-07,1583539200,3261.48669890
2020-03-08,1583625600,3234.43961280
2020-03-09,1583712000,3566.83464670
2020-03-10,1583798400,3246.30743800
2020-03-11,1583884800,3876.23203010
2020-03-12,1583971200,4077.09126850
2020-03-13,1584057600,9654.85179720
2020-03-14,1584144000,8858.01847130
2020-03-15,1584230400,8168.38202010
2020-03-16,1584316800,7521.39455370
2020-03-17,1584403200,6860.93319690
2020-03-18,1584489600,6875.32719640
2020-03-19,1584576000,6331.29816530
2020-03-20,1584662400,6739.80250860
2020-03-21,1584748800,6849.86947220
2020-03-22,1584835200,7272.14762680
2020-03-23,1584921600,7238.53731430
2020-03-24,1585008000,7682.30792640
2020-03-25,1585094400,8208.13807650
2020-03-26,1585180800,7896.68191980
2020-03-27,1585267200,7760.92024010
2020-03-28,1585353600,7177.66015250
2020-03-29,1585440000,6425.48215050
2020-03-30,1585526400,5948.19983780
2020-03-31,1585612800,5656.21965360
2020-04-01,1585699200,5350.94447290
2020-04-02,1585785600,5010.81521260
2020-04-03,1585872000,5022.95297830
2020-04-04,1585958400,4689.05429580
2020-04-05,1586044800,4478.32134610
2020-04-06,1586131200,4890.97600970
2020-04-07,1586217600,4994.60523550
2020-04-08,1586304000,5431.65055330
2020-04-09,1586390400,5795.19366720
