time_step,capas,units,activation,lr,opt,batch,MAE,RMSE,MAPE,R2
7,2,64,selu,0.01,rmsprop,32,0.018898793369373307,0.028413796517480373,5.474118300415528,0.8479898422967587
7,2,64,selu,0.001,rmsprop,32,0.01765710458332276,0.023368870446838424,5.71153355488412,0.8971771778961903
7,1,64,selu,0.01,rmsprop,32,0.01880037426328471,0.024815965851500203,5.769582862473338,0.8840484807570708
7,2,64,elu,0.01,rmsprop,32,0.0228293511553967,0.03065563758281896,7.477950893191239,0.823056430604843
7,1,64,relu,0.0005,rmsprop,64,0.025959276772353396,0.03058614392553939,7.743657580294505,0.8238577525959248
7,1,32,elu,0.01,rmsprop,128,0.024321567028495642,0.03676061696654655,9.166109248121447,0.7455633546131051
7,2,64,relu,0.001,rmsprop,64,0.03393528047762351,0.04088117382648963,9.649034631252752,0.6853260497056832
7,1,32,relu,0.01,rmsprop,32,0.02753266709521076,0.034196455676702625,9.938912130851257,0.7798208105163178
7,1,32,elu,0.01,rmsprop,32,0.033885626684857055,0.04007133211006766,10.079591731138143,0.6976697258576807
7,1,32,relu,0.001,adam,128,0.036210238617124774,0.04357483662032089,10.577258605646232,0.642492125139937
7,1,64,relu,0.01,rmsprop,128,0.0340191425011299,0.04029708545103883,10.62729288763647,0.6942536014283966
7,2,64,relu,0.01,rmsprop,32,0.034129941843533046,0.042782181075523576,10.712794258489977,0.6553804423147029
7,2,64,selu,0.001,rmsprop,64,0.03304366318395965,0.039643016841743775,10.904485286606443,0.7040982923043536
7,2,64,selu,0.0005,rmsprop,64,0.030191348545587485,0.05205936038140108,11.244609889454313,0.4897162558559668
7,2,64,relu,0.0005,rmsprop,64,0.03294651819965861,0.038458587716283195,11.356814685791258,0.7215156837401213
7,1,64,elu,0.01,rmsprop,128,0.031694312057174795,0.04349729902751603,11.473060445288878,0.6437633008575976
7,2,32,relu,0.0005,adam,128,0.037251065211939244,0.04591237643418325,12.147626067391926,0.6031068324619221
7,2,32,selu,0.01,rmsprop,32,0.040369241333548446,0.04919515434182769,12.371607021199447,0.5443212959556485
7,1,64,elu,0.0005,rmsprop,64,0.03272364931408418,0.04812999796334866,12.804206315258652,0.5638400702457435
7,2,32,relu,0.01,adam,128,0.0459542732624965,0.060389811986305254,12.845127815703572,0.31334050050363693
7,2,64,selu,0.01,adam,32,0.04531961568112145,0.05365861411154927,13.0074587183036,0.4578830568971045
7,2,32,selu,0.001,adam,32,0.04584677424266054,0.05243801218117165,13.610861569763344,0.48226620094255446
7,1,32,relu,0.0005,adam,64,0.047486460387999765,0.052862878290144015,14.871529109335377,0.47384259173262167
