modelo_idx,time_step,capas,units,activation,lr,opt,batch,MAE_val,RMSE_val,MAPE_val,MAE_test,RMSE_test,MAPE_test
7,7,2,64,selu,0.01,rmsprop,32,0.04697262549622436,0.06623132250874703,18.12063250961699,0.10276655849236599,0.15255529710686896,12.380357789939435
15,15,1,64,selu,0.0005,rmsprop,32,0.12178656719671642,0.12438670274719547,40.27038574501007,0.1035458208123138,0.11479251110678629,19.736580110099027
14,15,1,64,elu,0.001,adam,64,0.072760938313157,0.080239520760016,25.70117689746489,0.1045429479647619,0.14774079378953042,13.450769066299333
2,30,1,32,selu,0.01,rmsprop,128,0.09000015437259613,0.09708695629727965,30.155480346717596,0.10541004949717597,0.14643784163898815,13.779501029134078
12,7,2,64,elu,0.01,rmsprop,32,0.09730022291870047,0.11047380624429361,35.08433926125108,0.1062377942717783,0.13378628131151005,16.34110254212679
9,30,2,32,selu,0.0005,rmsprop,32,0.12604951993799288,0.12878198640894706,40.05941874172364,0.10664552612730896,0.12297344620086846,17.312385257137613
10,30,2,32,elu,0.01,rmsprop,64,0.03552524783599069,0.046777131977824654,12.583094223491411,0.10924581076626481,0.14625814337222925,14.913989734257042
4,7,2,64,selu,0.001,rmsprop,32,0.11377502849664203,0.1177974309912127,38.489838748028845,0.11048796291310822,0.12316592841610297,18.646197171168875
6,7,1,64,selu,0.01,rmsprop,32,0.1150462352850368,0.11902117811308112,39.28579510351683,0.11399706547647882,0.13538278593368974,19.431828815927744
5,15,1,32,relu,0.0005,adam,32,0.030628300535519657,0.03920829406017927,9.43078242036096,0.12661383394176634,0.19059268253273015,14.58869437468318
1,30,2,64,selu,0.001,rmsprop,128,0.03393089062341141,0.044067895277161484,11.416074305752279,0.13489127010213312,0.1874563780269108,16.347306032776725
8,15,1,32,elu,0.001,rmsprop,32,0.15170666500637056,0.1565399014251114,50.570455136538314,0.14420714332323017,0.17345720662906872,24.394726601016817
13,7,1,32,elu,0.01,rmsprop,128,0.039228770126752605,0.05185143949038355,14.863545871476264,0.14741823600486093,0.2062745985617886,18.124545601877735
3,15,1,32,selu,0.01,adam,64,0.18159479969101916,0.1836311164550241,59.48231947732516,0.17724347510257482,0.2078300519514656,31.598509884669262
11,30,2,32,relu,0.0005,adam,128,0.3138749989142094,0.32012662303345824,92.74650085950783,0.6747683928955033,0.7194384043695116,97.0037649297367
