d,unixTs,thermoCap
2020-01-01,1577836800,15924128166.38
2020-01-02,1577923200,16186600106.63
2020-01-03,1578009600,16201834301.50
2020-01-04,1578096000,16217213317.75
2020-01-05,1578182400,16232348946.38
2020-01-06,1578268800,16245065323.50
2020-01-07,1578355200,16262546858.50
2020-01-08,1578441600,16277177442.00
2020-01-09,1578528000,16292675164.50
2020-01-10,1578614400,16307380667.00
2020-01-11,1578700800,16323906907.38
2020-01-12,1578787200,16339215272.63
2020-01-13,1578873600,16353697274.00
2020-01-14,1578960000,16369233093.50
2020-01-15,1579046400,16385721753.63
2020-01-16,1579132800,16402965661.00
2020-01-17,1579219200,16420543274.50
2020-01-18,1579305600,16435215689.75
2020-01-19,1579392000,16451768108.50
2020-01-20,1579478400,16468191792.88
2020-01-21,1579564800,16484733999.50
2020-01-22,1579651200,16501628827.38
2020-01-23,1579737600,16518387916.63
2020-01-24,1579824000,16534301056.00
2020-01-25,1579910400,16551360449.75
2020-01-26,1579996800,16566434719.50
2020-01-27,1580083200,16580493297.88
2020-01-28,1580169600,16596538756.38
2020-01-29,1580256000,16615205235.63
2020-01-30,1580342400,16633460423.38
2020-01-31,1580428800,16650275645.88
2020-02-01,1580515200,16667963492.63
2020-02-02,1580601600,16684727673.25
2020-02-03,1580688000,16701982888.00
2020-02-04,1580774400,16717175616.13
2020-02-05,1580860800,16735836994.00
2020-02-06,1580947200,16752175769.50
2020-02-07,1581033600,16769160207.63
2020-02-08,1581120000,16786200916.88
2020-02-09,1581206400,16805487989.50
2020-02-10,1581292800,16820624776.00
2020-02-11,1581379200,16839071310.88
2020-02-12,1581465600,16857429907.50
2020-02-13,1581552000,16875536897.38
2020-02-14,1581638400,16892830837.88
2020-02-15,1581724800,16910826017.38
2020-02-16,1581811200,16928400479.38
2020-02-17,1581897600,16947469691.63
2020-02-18,1581984000,16965948077.50
2020-02-19,1582070400,16983729149.50
2020-02-20,1582156800,16998823026.63
2020-02-21,1582243200,17017479160.75
2020-02-22,1582329600,17035345688.25
2020-02-23,1582416000,17052874720.75
2020-02-24,1582502400,17070010842.75
2020-02-25,1582588800,17087086291.25
2020-02-26,1582675200,17102395036.75
2020-02-27,1582761600,17118560157.38
2020-02-28,1582848000,17135732160.13
2020-02-29,1582934400,17150831908.25
2020-03-01,1583020800,17169765801.38
2020-03-02,1583107200,17186061281.38
2020-03-03,1583193600,17202870375.38
2020-03-04,1583280000,17221156431.38
2020-03-05,1583366400,17239503913.75
2020-03-06,1583452800,17257127805.75
2020-03-07,1583539200,17274909194.38
2020-03-08,1583625600,17291910049.88
2020-03-09,1583712000,17306695360.50
2020-03-10,1583798400,17319789555.75
2020-03-11,1583884800,17331466081.25
2020-03-12,1583971200,17344178765.63
2020-03-13,1584057600,17352433610.75
2020-03-14,1584144000,17361119640.25
2020-03-15,1584230400,17369013216.25
2020-03-16,1584316800,17376465124.00
2020-03-17,1584403200,17384629069.13
2020-03-18,1584489600,17391260618.50
2020-03-19,1584576000,17398877809.13
2020-03-20,1584662400,17407647069.50
2020-03-21,1584748800,17417239031.13
2020-03-22,1584835200,17427001901.00
2020-03-23,1584921600,17435606062.00
2020-03-24,1585008000,17446595964.88
2020-03-25,1585094400,17454241198.00
2020-03-26,1585180800,17467581098.63
2020-03-27,1585267200,17480546972.75
2020-03-28,1585353600,17491054818.25
2020-03-29,1585440000,17502592977.63
2020-03-30,1585526400,17514115999.88
2020-03-31,1585612800,17526939588.13
2020-04-01,1585699200,17539015896.75
2020-04-02,1585785600,17551884091.25
2020-04-03,1585872000,17563134509.00
2020-04-04,1585958400,17576432450.75
2020-04-05,1586044800,17591296218.13
2020-04-06,1586131200,17602654386.63
2020-04-07,1586217600,17618014709.50
2020-04-08,1586304000,17631166567.38
2020-04-09,1586390400,17645224425.13
2020-04-10,1586476800,17659438588.75
2020-04-11,1586563200,17673094856.88
2020-04-12,1586649600,17686371461.38
2020-04-13,1586736000,17700805043.88
2020-04-14,1586822400,17715258171.50
2020-04-15,1586908800,17729640049.88
2020-04-16,1586995200,17742952142.88
2020-04-17,1587081600,17754176114.13
2020-04-18,1587168000,17768302497.50
2020-04-19,1587254400,17781917365.13
2020-04-20,1587340800,17796100913.75
2020-04-21,1587427200,17808891376.88
2020-04-22,1587513600,17820325320.13
2020-04-23,1587600000,17833262859.00
2020-04-24,1587686400,17846796535.50
2020-04-25,1587772800,17859627387.25
2020-04-26,1587859200,17872645189.25
2020-04-27,1587945600,17886238287.75
2020-04-28,1588032000,17901113082.88
2020-04-29,1588118400,17916023649.25
2020-04-30,1588204800,17930969714.25
2020-05-01,1588291200,17946455206.75
2020-05-02,1588377600,17962871843.38
2020-05-03,1588464000,17981765624.25
2020-05-04,1588550400,17999084783.00
2020-05-05,1588636800,18016723170.63
2020-05-06,1588723200,18034365930.13
2020-05-07,1588809600,18051833179.63
2020-05-08,1588896000,18068822982.13
2020-05-09,1588982400,18085344475.88
2020-05-10,1589068800,18103813655.38
2020-05-11,1589155200,18113422064.34
2020-05-12,1589241600,18123030473.29
2020-05-13,1589328000,18132638882.25
2020-05-14,1589414400,18142247291.21
2020-05-15,1589500800,18151855700.17
2020-05-16,1589587200,18161464109.12
2020-05-17,1589673600,18171072518.08
2020-05-18,1589760000,18180680927.04
2020-05-19,1589846400,18190289336.00
2020-05-20,1589932800,18199897744.95
2020-05-21,1590019200,18209506153.91
2020-05-22,1590105600,18219114562.87
2020-05-23,1590192000,18228722971.83
2020-05-24,1590278400,18238331380.78
2020-05-25,1590364800,18247939789.74
2020-05-26,1590451200,18257548198.70
2020-05-27,1590537600,18267156607.66
2020-05-28,1590624000,18276765016.61
2020-05-29,1590710400,18286373425.57
2020-05-30,1590796800,18295981834.53
2020-05-31,1590883200,18305590243.49
2020-06-01,1590969600,18315198652.44
2020-06-02,1591056000,18324807061.40
2020-06-03,1591142400,18334415470.36
2020-06-04,1591228800,18344023879.31
2020-06-05,1591315200,18353632288.27
2020-06-06,1591401600,18363240697.23
2020-06-07,1591488000,18372849106.19
2020-06-08,1591574400,18382457515.14
2020-06-09,1591660800,18392065924.10
2020-06-10,1591747200,18401674333.06
2020-06-11,1591833600,18411282742.02
2020-06-12,1591920000,18420891150.97
2020-06-13,1592006400,18430499559.93
2020-06-14,1592092800,18440107968.89
2020-06-15,1592179200,18449716377.85
2020-06-16,1592265600,18459324786.80
2020-06-17,1592352000,18468933195.76
2020-06-18,1592438400,18478541604.72
2020-06-19,1592524800,18488150013.68
2020-06-20,1592611200,18497758422.63
2020-06-21,1592697600,18507366831.59
2020-06-22,1592784000,18516975240.55
2020-06-23,1592870400,18526583649.50
2020-06-24,1592956800,18536192058.46
2020-06-25,1593043200,18545800467.42
2020-06-26,1593129600,18555408876.38
2020-06-27,1593216000,18565017285.33
2020-06-28,1593302400,18574625694.29
2020-06-29,1593388800,18584234103.25
2020-06-30,1593475200,18593842512.21
2020-07-01,1593561600,18603450921.16
2020-07-02,1593648000,18613059330.12
2020-07-03,1593734400,18622667739.08
2020-07-04,1593820800,18632276148.04
2020-07-05,1593907200,18641884556.99
2020-07-06,1593993600,18651492965.95
2020-07-07,1594080000,18661101374.91
2020-07-08,1594166400,18670709783.87
