d,unixTs,vocdd
2020-01-01,1577836800,830.3074
2020-01-02,1577923200,2786.5821
2020-01-03,1578009600,1703.5938
2020-01-04,1578096000,2049.0339
2020-01-05,1578182400,1206.7211
2020-01-06,1578268800,2089.4429
2020-01-07,1578355200,2892.3332
2020-01-08,1578441600,2758.9523
2020-01-09,1578528000,3662.9696
2020-01-10,1578614400,2885.0676
2020-01-11,1578700800,966.7756
2020-01-12,1578787200,1523.7758
2020-01-13,1578873600,2247.7441
2020-01-14,1578960000,10674.7126
2020-01-15,1579046400,6688.4477
2020-01-16,1579132800,5851.5740
2020-01-17,1579219200,2075.2696
2020-01-18,1579305600,1712.7794
2020-01-19,1579392000,2557.9472
2020-01-20,1579478400,1965.4532
2020-01-21,1579564800,2654.1731
2020-01-22,1579651200,3096.7745
2020-01-23,1579737600,5890.3967
2020-01-24,1579824000,6556.7960
2020-01-25,1579910400,1874.9951
2020-01-26,1579996800,1600.2393
2020-01-27,1580083200,2469.9708
2020-01-28,1580169600,2969.2956
2020-01-29,1580256000,9861.4253
2020-01-30,1580342400,3372.2402
2020-01-31,1580428800,6737.7972
2020-02-01,1580515200,1953.6258
2020-02-02,1580601600,5537.2688
2020-02-03,1580688000,30582.5846
2020-02-04,1580774400,3886.0741
2020-02-05,1580860800,3405.0347
2020-02-06,1580947200,12682.3682
2020-02-07,1581033600,30420.6332
2020-02-08,1581120000,5570.3809
2020-02-09,1581206400,4264.9307
2020-02-10,1581292800,16076.6697
2020-02-11,1581379200,5176.7863
2020-02-12,1581465600,3871.5211
2020-02-13,1581552000,6597.1095
2020-02-14,1581638400,3749.8233
2020-02-15,1581724800,3305.7981
2020-02-16,1581811200,1822.4384
2020-02-17,1581897600,2555.2536
2020-02-18,1581984000,4491.1131
2020-02-19,1582070400,6836.9161
2020-02-20,1582156800,8462.3323
2020-02-21,1582243200,3594.3149
2020-02-22,1582329600,1665.5077
2020-02-23,1582416000,2329.3106
2020-02-24,1582502400,2377.7414
2020-02-25,1582588800,11613.3718
2020-02-26,1582675200,3372.2009
2020-02-27,1582761600,2485.8792
2020-02-28,1582848000,4073.5896
2020-02-29,1582934400,2728.4093
2020-03-01,1583020800,2629.4513
2020-03-02,1583107200,7778.8907
2020-03-03,1583193600,9599.4975
2020-03-04,1583280000,3655.3041
2020-03-05,1583366400,4405.5339
2020-03-06,1583452800,3039.1630
2020-03-07,1583539200,1305.5388
2020-03-08,1583625600,1882.5185
2020-03-09,1583712000,7448.1479
2020-03-10,1583798400,4159.7437
2020-03-11,1583884800,16352.6548
2020-03-12,1583971200,10352.1051
2020-03-13,1584057600,10283.8959
2020-03-14,1584144000,4162.2800
2020-03-15,1584230400,2076.2572
2020-03-16,1584316800,4489.9979
2020-03-17,1584403200,5084.1846
2020-03-18,1584489600,1520.3982
2020-03-19,1584576000,2985.1488
2020-03-20,1584662400,2365.8427
2020-03-21,1584748800,1174.6393
2020-03-22,1584835200,1402.1545
2020-03-23,1584921600,2862.9409
2020-03-24,1585008000,2129.0876
2020-03-25,1585094400,4391.1464
2020-03-26,1585180800,2898.0189
2020-03-27,1585267200,2646.3975
2020-03-28,1585353600,1230.9778
2020-03-29,1585440000,1801.1383
2020-03-30,1585526400,2091.4153
2020-03-31,1585612800,1648.8512
2020-04-01,1585699200,2864.0061
2020-04-02,1585785600,2358.8789
2020-04-03,1585872000,1264.4984
2020-04-04,1585958400,1230.3993
2020-04-05,1586044800,853.1601
2020-04-06,1586131200,2002.1724
2020-04-07,1586217600,3976.3526
2020-04-08,1586304000,1647.5973
2020-04-09,1586390400,3023.3105
2020-04-10,1586476800,4664.9891
2020-04-11,1586563200,883.1611
2020-04-12,1586649600,642.5864
2020-04-13,1586736000,1535.8482
2020-04-14,1586822400,1408.0930
2020-04-15,1586908800,1823.2454
2020-04-16,1586995200,3051.7010
2020-04-17,1587081600,2328.2291
2020-04-18,1587168000,1006.0313
2020-04-19,1587254400,2280.4171
2020-04-20,1587340800,2012.8846
2020-04-21,1587427200,1782.7301
2020-04-22,1587513600,2326.3952
2020-04-23,1587600000,3544.2088
2020-04-24,1587686400,2231.5716
2020-04-25,1587772800,1724.3432
2020-04-26,1587859200,1888.2526
2020-04-27,1587945600,3308.6676
2020-04-28,1588032000,1829.4261
2020-04-29,1588118400,10864.3194
2020-04-30,1588204800,5581.7166
2020-05-01,1588291200,2816.8852
2020-05-02,1588377600,1449.1762
2020-05-03,1588464000,2885.2397
2020-05-04,1588550400,2198.1975
2020-05-05,1588636800,2681.4268
2020-05-06,1588723200,7436.7471
2020-05-07,1588809600,14269.4504
2020-05-08,1588896000,9122.2500
2020-05-09,1588982400,4964.1082
2020-05-10,1589068800,2896.1546
2020-05-11,1589155200,6226.0247
2020-05-12,1589241600,2396.6025
2020-05-13,1589328000,2744.5363
2020-05-14,1589414400,3677.4638
2020-05-15,1589500800,3937.3978
2020-05-16,1589587200,2767.5349
2020-05-17,1589673600,1789.9989
2020-05-18,1589760000,3756.0101
2020-05-19,1589846400,2328.3127
2020-05-20,1589932800,3285.1807
2020-05-21,1590019200,4165.4391
2020-05-22,1590105600,2615.1584
2020-05-23,1590192000,1885.8683
2020-05-24,1590278400,1403.2344
2020-05-25,1590364800,1906.8805
2020-05-26,1590451200,2367.9999
2020-05-27,1590537600,2567.1525
2020-05-28,1590624000,4071.0873
2020-05-29,1590710400,3828.9445
